MSGID,MNEMONIC,LINENO,LEVEL,TEXT,PBUTTONS
321.0,IN_UPDATE_DENIED,1.0,W,%$ could not be opened in update mode.,SASHELP.FSP.OK.SLIST
322.0,IN_AXIS_RANGE_NOT_VALID,1.0,E,The specified axis range(s) are not valid.,SASHELP.FSP.OK.SLIST
323.0,IN_OPEN_FAILED,1.0,E,Member level locking unavailable for %$.,SASHELP.FSP.OK.SLIST
324.0,IO_AX_RNG_INC_NOT_POS,1.0,E,The specified axis increment must be positive.,SASHELP.FSP.OK.SLIST
325.0,IO_VAR_NO_CATEGORY,1.0,E,There are no variables registered with the CATEGORY attribute.,SASHELP.FSP.OK.SLIST
326.0,IO_INVALID_PATH,1.0,E,%LPath is invalid.,SASHELP.FSP.OK.SLIST
327.0,IN_ALIAS_ASSIGNED,1.0,N,%LAlias assigned successfully.,SASHELP.FSP.OK.SLIST
328.0,IN_ALIAS_CLEARED,1.0,N,%LAlias cleared successfully.,SASHELP.FSP.OK.SLIST
329.0,IN_REMOTE_ALIAS_ENABLE,1.0,N,%LCheck log for results of remote alias enable.,SASHELP.FSP.OK.SLIST
330.0,IN_REMOTE_ALIAS_DISABLE,1.0,N,%LCheck log for results of remote alias disable.,SASHELP.FSP.OK.SLIST
331.0,IN_SINGON_REMOTE_FAILED,1.0,E,%LCould not signon to the remote session.,SASHELP.FSP.OK.SLIST
335.0,IN_SELECT_ITEM,1.0,E,Select an item from the table.,SASHELP.FSP.OK.SLIST
336.0,IO_SERVER_REQUIRED,1.0,E,%LA server is required.,SASHELP.FSP.OK.SLIST
337.0,IO_COMAMID_REQUIRED,1.0,E,%LA COMAMID is required.,SASHELP.FSP.OK.SLIST
338.0,IO_SCRIPT_REQUIRED,1.0,E,%LA script is required.,SASHELP.FSP.OK.SLIST
339.0,IN_CNCT_SHARE_REQUIRED,1.0,E,%LYou must have SAS/CONNECT or SAS/SHARE software licensed.,SASHELP.FSP.OK.SLIST
341.0,IO_INVALID_COMAMID,1.0,E,%LCOMAMID is invalid.,SASHELP.FSP.OK.SLIST
342.0,IN_NO_SIGNOFF,1.0,E,%LSignoff was unsuccessful.,SASHELP.FSP.OK.SLIST
343.0,IN_SIGNOFF_OK,1.0,N,%LSignoff completed successfully.,SASHELP.FSP.OK.SLIST
344.0,IN_NO_SIGNON,1.0,E,%LCould not signon to remote session. Please see the log for details.,SASHELP.FSP.OK.SLIST
345.0,IN_ALREADY_SIGNED_ON,1.0,N,%lYou are already signed on to the remote session.,SASHELP.FSP.OK.SLIST
346.0,IN_NO_LINK,1.0,E,%LA link does not exist with the remote session.,SASHELP.FSP.OK.SLIST
347.0,IN_SIGNON_OK,1.0,N,%LSignon completed successfully.,SASHELP.FSP.OK.SLIST
348.0,IN_ENABLE_SHR_FAILED,1.0,E,%LCannot enable a Multi-user server.,SASHELP.FSP.OK.SLIST
358.0,IN_SELECT_DATA,1.0,E,A database must first be selected.,SASHELP.FSP.OK.SLIST
