libname,memname
MAPSSAS,ISRAEL
MAPSSAS,ISRAEL2
MAPSSAS,ITALY
MAPSSAS,ITALY2
MAPSSAS,IVORY
MAPSSAS,IVORY2
MAPSSAS,JAMAICA
MAPSSAS,JAMAICA2
MAPSSAS,JAOSAKA
MAPSSAS,JAOSAKA2
MAPSSAS,JAPAN
MAPSSAS,JAPAN2
MAPSSAS,JATOKYO
MAPSSAS,JATOKYO2
MAPSSAS,JDESC
MAPSSAS,JDESCE
MAPSSAS,KAZAKHS2
MAPSSAS,KAZAKHST
MAPSSAS,KENYA
MAPSSAS,KENYA2
MAPSSAS,KOREANO2
MAPSSAS,KOREANOR
MAPSSAS,KOREASO2
MAPSSAS,KOREASOU
MAPSSAS,KOSEOUL
MAPSSAS,KOSEOUL2
MAPSSAS,KYRGYZS2
MAPSSAS,KYRGYZST
MAPSSAS,LAOS
MAPSSAS,LAOS2
MAPSSAS,LATVIA
MAPSSAS,LATVIA2
MAPSSAS,LEBANON
MAPSSAS,LEBANON2
MAPSSAS,LIBYA
MAPSSAS,LIBYA2
MAPSSAS,LIECHTE2
MAPSSAS,LIECHTEN
MAPSSAS,LITHUAN2
MAPSSAS,LITHUANI
MAPSSAS,LUXEMBO2
MAPSSAS,LUXEMBOU
MAPSSAS,MACAU
MAPSSAS,MACAU2
MAPSSAS,MACEDON2
MAPSSAS,MACEDONI
MAPSSAS,MALAYSI2
MAPSSAS,MALAYSIA
MAPSSAS,METAMAPS
MAPSSAS,MEXICO
MAPSSAS,MEXICO2
MAPSSAS,MOLDOVA
MAPSSAS,MOLDOVA2
MAPSSAS,MONACO
MAPSSAS,MONACO2
MAPSSAS,MONGOLI2
MAPSSAS,MONGOLIA
MAPSSAS,MONTENE2
MAPSSAS,MONTENEG
MAPSSAS,MOROCCO
MAPSSAS,MOROCCO2
MAPSSAS,MYANMAR
MAPSSAS,MYANMAR2
MAPSSAS,NAMERIC2
MAPSSAS,NAMERICA
MAPSSAS,NAMES
MAPSSAS,NEPAL
MAPSSAS,NEPAL2
MAPSSAS,NICARAG2
MAPSSAS,NICARAGU
MAPSSAS,NIGERIA
MAPSSAS,NIGERIA2
MAPSSAS,NORWAY
MAPSSAS,NORWAY2
MAPSSAS,NTLANDS
MAPSSAS,NTLANDS2
MAPSSAS,NZ
MAPSSAS,NZ2
MAPSSAS,OCEANIA
MAPSSAS,OCEANIA2
MAPSSAS,ODESC
MAPSSAS,ODESCE
MAPSSAS,OSAKA
MAPSSAS,PAKISTA2
MAPSSAS,PAKISTAN
MAPSSAS,PANAMA
MAPSSAS,PANAMA2
MAPSSAS,PARAGUA2
MAPSSAS,PARAGUAY
MAPSSAS,PERU
MAPSSAS,PERU2
MAPSSAS,PHILIPP2
MAPSSAS,PHILIPPI
MAPSSAS,POLAND
MAPSSAS,POLAND2
MAPSSAS,PORTUGA2
MAPSSAS,PORTUGAL
MAPSSAS,ROMANIA
MAPSSAS,ROMANIA2
MAPSSAS,RUSSIA
MAPSSAS,RUSSIA2
MAPSSAS,SALVADO2
MAPSSAS,SALVADOR
MAPSSAS,SAMERIC2
MAPSSAS,SAMERICA
MAPSSAS,SANMARI2
MAPSSAS,SANMARIN
MAPSSAS,SAUDIAR2
MAPSSAS,SAUDIARA
MAPSSAS,SERBIA
MAPSSAS,SERBIA2
MAPSSAS,SINGAPO2
MAPSSAS,SINGAPOR
MAPSSAS,SLOVAKI2
MAPSSAS,SLOVAKIA
MAPSSAS,SLOVENI2
MAPSSAS,SLOVENIA
MAPSSAS,SPACIFIC
MAPSSAS,SPAIN
MAPSSAS,SPAIN2
MAPSSAS,SRILANK2
MAPSSAS,SRILANKA
MAPSSAS,STATES
MAPSSAS,SURINAM2
MAPSSAS,SURINAME
MAPSSAS,SWEDEN
MAPSSAS,SWEDEN2
MAPSSAS,SWITZER2
MAPSSAS,SWITZERL
MAPSSAS,SYRIA
MAPSSAS,SYRIA2
MAPSSAS,TAIWAN
MAPSSAS,TAIWAN2
MAPSSAS,TAJIKIS2
MAPSSAS,TAJIKIST
MAPSSAS,TDESC
MAPSSAS,TDESCE
MAPSSAS,THAILAN2
MAPSSAS,THAILAND
MAPSSAS,TOKYO
MAPSSAS,TRINIDA2
MAPSSAS,TRINIDAD
MAPSSAS,TUNISIA
MAPSSAS,TUNISIA2
MAPSSAS,TURKEY
MAPSSAS,TURKEY2
MAPSSAS,TURKMEN2
MAPSSAS,TURKMENI
MAPSSAS,UK
MAPSSAS,UK2
MAPSSAS,UKRAINE
MAPSSAS,UKRAINE2
MAPSSAS,URUGUAY
MAPSSAS,URUGUAY2
MAPSSAS,US
MAPSSAS,US2
MAPSSAS,USCENTER
MAPSSAS,USCITY
MAPSSAS,USCOUNTY
MAPSSAS,UZBEKIS2
MAPSSAS,UZBEKIST
MAPSSAS,VENEZUE2
MAPSSAS,VENEZUEL
MAPSSAS,VIETNAM
MAPSSAS,VIETNAM2
MAPSSAS,WESTBAN2
MAPSSAS,WESTBANK
MAPSSAS,WORLD
MAPSSAS,ZAIRE
MAPSSAS,ZAIRE2
SASHELP,AACOMP
SASHELP,AARFM
SASHELP,ADSMSG
SASHELP,AFMSG
SASHELP,AIR
SASHELP,AIRLINE
SASHELP,APPLIANC
SASHELP,ASSCMGR
SASHELP,BASEBALL
SASHELP,BEI
SASHELP,BIRTHWGT
SASHELP,BMIMEN
SASHELP,BMT
SASHELP,BURROWS
SASHELP,BUY
SASHELP,BWEIGHT
SASHELP,CARS
SASHELP,CITIDAY
SASHELP,CITIMON
SASHELP,CITIQTR
SASHELP,CITIWK
SASHELP,CITIYR
SASHELP,CLASS
SASHELP,CLASSFIT
SASHELP,CLNMSG
SASHELP,CNTAINER
SASHELP,COLUMN
SASHELP,COMET
SASHELP,COUNTSERIES
SASHELP,CP951
SASHELP,CREDIT
SASHELP,CSSTOP
SASHELP,DASTOP
SASHELP,DEMOGRAPHICS
SASHELP,DESKACT
SASHELP,DESKFD
SASHELP,DESKOBJ
SASHELP,DESTOP
SASHELP,DFTDICT
SASHELP,DMCAS
SASHELP,DMGMSG
SASHELP,DMINE
SASHELP,DMTOOLS
SASHELP,DMWBTOOL
SASHELP,DPLOG
SASHELP,DYNATTR
SASHELP,EISMBRP
SASHELP,EISMSG
SASHELP,ELECTRIC
SASHELP,ELSTOP
SASHELP,EMSASCOD
SASHELP,EMTOOL
SASHELP,ENGSTOP
SASHELP,ENGSYNMS
SASHELP,ENG_MULTI
SASHELP,ENSO
SASHELP,ENSTOP
SASHELP,ESSTOP
SASHELP,ETSMSG
SASHELP,FAILURE
SASHELP,FEEDDET
SASHELP,FEEDER
SASHELP,FISH
SASHELP,FISTOP
SASHELP,FLAGS
SASHELP,FONTDATA
SASHELP,FORECASTBAT
SASHELP,FRCHSTOP
SASHELP,FRNCH_MULTI
SASHELP,FRSTOP
SASHELP,FSAUTH
SASHELP,FSHEAD
SASHELP,GAS
SASHELP,GCDIRECT
SASHELP,GCSTATE
SASHELP,GCTYPE
SASHELP,GEOEXM
SASHELP,GEOEXP
SASHELP,GEOEXS
SASHELP,GERM_MULTI
SASHELP,GNGMSG
SASHELP,GNGSMP1
SASHELP,GNGSMP2
SASHELP,GNP
SASHELP,GRIDDED
SASHELP,GRMNSTOP
SASHELP,GULFOIL
SASHELP,HEART
SASHELP,HESTOP
SASHELP,HISTOP
SASHELP,HKSCS01
SASHELP,HOLIDAY
SASHELP,HRSTOP
SASHELP,HUMID
SASHELP,HUSTOP
SASHELP,IDSTOP
SASHELP,IMAGERW
SASHELP,IMGMSG
SASHELP,IRIS
SASHELP,ITAL_MULTI
SASHELP,ITSTOP
SASHELP,JAC
SASHELP,JUNKMAIL
SASHELP,KOC
SASHELP,LAKE
SASHELP,LEUTEST
SASHELP,LEUTRAIN
SASHELP,LIBRARY
SASHELP,LOC
SASHELP,LSWMSG
SASHELP,MACRS10
SASHELP,MACRS15
SASHELP,MACRS20
SASHELP,MACRS3
SASHELP,MACRS5
SASHELP,MACRS7
SASHELP,MANAGE
SASHELP,MARGARIN
SASHELP,MDASSOC
SASHELP,MDBMSG
SASHELP,METAIMDB
SASHELP,METAMSG
SASHELP,MILEAGES
SASHELP,MIXDSTOP
SASHELP,MON1001
SASHELP,MON111
SASHELP,MONIKER
SASHELP,MRRGSTRY
SASHELP,MWELECT
SASHELP,NLSTOP
SASHELP,NOSTOP
SASHELP,NVST1
SASHELP,NVST2
SASHELP,NVST3
SASHELP,NVST4
SASHELP,NVST5
SASHELP,OMAASSC
SASHELP,OMAVERB
SASHELP,ORSALES
SASHELP,PLFIPS
SASHELP,PLSTOP
SASHELP,PORT_MULTI
SASHELP,PRDSAL2
SASHELP,PRDSAL3
SASHELP,PRDSALE
SASHELP,PRICEDATA
SASHELP,PROJ4DEF
SASHELP,PTSTOP
SASHELP,QSEEDS
SASHELP,QTR1001
SASHELP,QTR111
SASHELP,QUAKES
SASHELP,RENT
SASHELP,RETAIL
SASHELP,REVHUB2
SASHELP,ROCKPIT
SASHELP,ROSTOP
SASHELP,RUSTOP
SASHELP,SASMBC
SASHELP,SASMSG
SASHELP,SHELL
SASHELP,SHOES
SASHELP,SKSTOP
SASHELP,SLKWXL
SASHELP,SLSTOP
SASHELP,SMEMSG
SASHELP,SNACKS
SASHELP,SPAN_MULTI
SASHELP,SPRINGS
SASHELP,STEEL
SASHELP,STOCKS
SASHELP,STOPLST
SASHELP,STTMSG
SASHELP,SVRTDIST
SASHELP,SVSTOP
SASHELP,SYR1001
SASHELP,TABLE
SASHELP,THICK
SASHELP,TIMEDATA
SASHELP,TMINE
SASHELP,TOURISM
SASHELP,TRSTOP
SASHELP,TSXBAT
SASHELP,TSXFNC
SASHELP,USECON
SASHELP,US_DATA
SASHELP,VBPLAYRS
SASHELP,VERBMGR
SASHELP,VIDMSG
SASHELP,VOTE1980
SASHELP,WEBMSG
SASHELP,WORKERS
SASHELP,YR1001
SASHELP,YR111
SASHELP,ZHC
SASHELP,ZIPCODE
SASHELP,ZIPMIL
SASHELP,ZTC
SASHELP,_CMPIDX_
STPSAMP,STPBGT
STPSAMP,STPEURO
STPSAMP,STPSALE
WORK,__JUPYTERSASKERNEL__
