libname,memname
MAPS,HKPU2
MAPS,HONDURA2
MAPS,HONDURAS
MAPS,HUNGARY
MAPS,HUNGARY2
MAPS,INDIA
MAPS,INDIA2
MAPS,INDONES2
MAPS,INDONESI
MAPS,IRAN
MAPS,IRAN2
MAPS,IRAQ
MAPS,IRAQ2
MAPS,IRAQSAU2
MAPS,IRAQSAUD
MAPS,IRELAND
MAPS,IRELAND2
MAPS,ISRAEL
MAPS,ISRAEL2
MAPS,ITALY
MAPS,ITALY2
MAPS,IVORY
MAPS,IVORY2
MAPS,JAMAICA
MAPS,JAMAICA2
MAPS,JAOSAKA
MAPS,JAOSAKA2
MAPS,JAPAN
MAPS,JAPAN2
MAPS,JATOKYO
MAPS,JATOKYO2
MAPS,JDESC
MAPS,JDESCE
MAPS,KAZAKHS2
MAPS,KAZAKHST
MAPS,KENYA
MAPS,KENYA2
MAPS,KOREANO2
MAPS,KOREANOR
MAPS,KOREASO2
MAPS,KOREASOU
MAPS,KOSEOUL
MAPS,KOSEOUL2
MAPS,KYRGYZS2
MAPS,KYRGYZST
MAPS,LAOS
MAPS,LAOS2
MAPS,LATVIA
MAPS,LATVIA2
MAPS,LEBANON
MAPS,LEBANON2
MAPS,LIBYA
MAPS,LIBYA2
MAPS,LIECHTE2
MAPS,LIECHTEN
MAPS,LITHUAN2
MAPS,LITHUANI
MAPS,LUXEMBO2
MAPS,LUXEMBOU
MAPS,MACAU
MAPS,MACAU2
MAPS,MACEDON2
MAPS,MACEDONI
MAPS,MALAYSI2
MAPS,MALAYSIA
MAPS,METAMAPS
MAPS,MEXICO
MAPS,MEXICO2
MAPS,MOLDOVA
MAPS,MOLDOVA2
MAPS,MONACO
MAPS,MONACO2
MAPS,MONGOLI2
MAPS,MONGOLIA
MAPS,MONTENE2
MAPS,MONTENEG
MAPS,MOROCCO
MAPS,MOROCCO2
MAPS,MYANMAR
MAPS,MYANMAR2
MAPS,NAMERIC2
MAPS,NAMERICA
MAPS,NAMES
MAPS,NEPAL
MAPS,NEPAL2
MAPS,NICARAG2
MAPS,NICARAGU
MAPS,NIGERIA
MAPS,NIGERIA2
MAPS,NORWAY
MAPS,NORWAY2
MAPS,NTLANDS
MAPS,NTLANDS2
MAPS,NZ
MAPS,NZ2
MAPS,OCEANIA
MAPS,OCEANIA2
MAPS,ODESC
MAPS,ODESCE
MAPS,OSAKA
MAPS,PAKISTA2
MAPS,PAKISTAN
MAPS,PANAMA
MAPS,PANAMA2
MAPS,PARAGUA2
MAPS,PARAGUAY
MAPS,PERU
MAPS,PERU2
MAPS,PHILIPP2
MAPS,PHILIPPI
MAPS,POLAND
MAPS,POLAND2
MAPS,PORTUGA2
MAPS,PORTUGAL
MAPS,ROMANIA
MAPS,ROMANIA2
MAPS,RUSSIA
MAPS,RUSSIA2
MAPS,SALVADO2
MAPS,SALVADOR
MAPS,SAMERIC2
MAPS,SAMERICA
MAPS,SANMARI2
MAPS,SANMARIN
MAPS,SAUDIAR2
MAPS,SAUDIARA
MAPS,SERBIA
MAPS,SERBIA2
MAPS,SINGAPO2
MAPS,SINGAPOR
MAPS,SLOVAKI2
MAPS,SLOVAKIA
MAPS,SLOVENI2
MAPS,SLOVENIA
MAPS,SPACIFIC
MAPS,SPAIN
MAPS,SPAIN2
MAPS,SRILANK2
MAPS,SRILANKA
MAPS,STATES
MAPS,SURINAM2
MAPS,SURINAME
MAPS,SWEDEN
MAPS,SWEDEN2
MAPS,SWITZER2
MAPS,SWITZERL
MAPS,SYRIA
MAPS,SYRIA2
MAPS,TAIWAN
