MSGID,MNEMONIC,LINENO,LEVEL,TEXT,PBUTTONS
269.0,IN_INVALID_COL_NAME,1.0,E,%LInvalid column name.,SASHELP.FSP.OK.SLIST
270.0,IN_INVALID_DATA_LENGTH,1.0,E,%LData length must be between 3 and 8.,SASHELP.FSP.OK.SLIST
271.0,IN_INVALID_DATA_LENGTHC,1.0,E,%LData length must be between 1 and 200.,SASHELP.FSP.OK.SLIST
272.0,IN_EDIT_EXECUTED,1.0,N,%lEdit method was executed.,SASHELP.FSP.OK.SLIST
276.0,IN_SELECT_CANCEL,1.0,N,%LNo hierarchy selected. Select a hierarchy or Cancel to quit.,SASHELP.FSP.OK.SLIST
277.0,IO_METABASE_EXISTS,1.0,E,%LThe 'Copy to' repository already exists. Specify another name and/or path.,SASHELP.FSP.OK.SLIST
279.0,IN_WNAME_SRCHPATH_ATTR,1.0,O,Attribute Dictionary Search Path,SASHELP.FSP.OK.SLIST
280.0,IN_WNAME_SRCHPATH_CAT,1.0,O,Catalog Search Path,SASHELP.FSP.OK.SLIST
281.0,IN_WNAME_SRCHPATH_APPL,1.0,O,Database Search Path,SASHELP.FSP.OK.SLIST
282.0,IN_WNAME_SRCHPATH_OBJ,1.0,O,Object Groups Search Path,SASHELP.FSP.OK.SLIST
283.0,IN_WNAME_SRCHPATH_LIB,1.0,O,Library Configurations Search Path,SASHELP.FSP.OK.SLIST
285.0,DI_INDEX_NOT_CREATED,1.0,E,%lRepository index %$ missing and could not be created.,SASHELP.FSP.OK.SLIST
292.0,IN_WRITE_DENIED,1.0,E,%lWrite access to %$ denied.,SASHELP.FSP.OK.SLIST
294.0,IN_NO_DUP_COLUMNS,1.0,E,Duplicate columns are not allowed in calculation.,SASHELP.FSP.OK.SLIST
295.0,IN_EQUATION_COMPLETE,1.0,N,Equation is complete. Press Define.,SASHELP.FSP.OK.SLIST
296.0,IN_NEEDS_MORE_DATA,1.0,E,Calculation requires more data. Please choose a column.,SASHELP.FSP.OK.SLIST
297.0,IN_COLUMN_USED_IN_CALC,1.0,E,Column is used in calculation of %1$.,SASHELP.FSP.OK.SLIST
298.0,IN_DESC_MUST_BE_UNIQUE,1.0,E,Description must be unique.,SASHELP.FSP.OK.SLIST
305.0,IN_WNAME_COPYREG_NONMB,1.0,O,SAS/EIS: Copy,SASHELP.FSP.OK.SLIST
306.0,IN_WNAME_COPYREG_MB,1.0,O,Copy a Metabase Registration,SASHELP.FSP.OK.SLIST
321.0,IN_UPDATE_DENIED,1.0,W,%$ could not be opened in update mode.,SASHELP.FSP.OK.SLIST
332.0,IN_NAME_REQUIRED2,1.0,E,%lSpecify a 'Copy to' name or select Cancel to quit.,SASHELP.FSP.OK.SLIST
333.0,IN_MCEIS_LABEL,1.0,O,SAS/EIS Global Attribute Dictionary,SASHELP.FSP.OK.SLIST
352.0,DI_SASAPPL_EXISTS,1.0,E,%LApplication database %1$ already exists. Specify another name or Cancel to quit.,SASHELP.FSP.OK.SLIST
353.0,DI_OBJECTG_EXISTS,1.0,E,%LObject groups database %1$ already exists. Specify another name or Cancel to quit.,SASHELP.FSP.OK.SLIST
354.0,DI_CONFIG_EXISTS,1.0,E,%LConfiguration file %1$ already exists. Specify another name or Cancel to quit.,SASHELP.FSP.OK.SLIST
355.0,DI_AD_EXISTS,1.0,E,%LAttribute dictionary %1$ already exists. Specify another name or Cancel to quit.,SASHELP.FSP.OK.SLIST
356.0,IN_NEW_AT_WNAME,1.0,O,Create a New Attribute Dictionary,SASHELP.FSP.OK.SLIST
357.0,IN_RENAME_AT_WNAME,1.0,O,Rename Attribute Dictionary,SASHELP.FSP.OK.SLIST
359.0,IO_DESC_REQUIRED,1.0,E,%LA description is required. Specify one or Cancel to quit.,SASHELP.FSP.OK.SLIST
360.0,IO_ATTR_TYPE_REQUIRED,1.0,E,%LAn attribute type is required. Specify one or Cancel to quit.,SASHELP.FSP.OK.SLIST
364.0,DI_NEW_NAME_REQUIRED,1.0,E,%LA new attribute dictionary name is required to perform rename.,SASHELP.FSP.OK.SLIST
365.0,DI_AD_NAME_NOT_EXIST,1.0,E,"%LThe specified attribute dictionary, %1$, does not exist.",SASHELP.FSP.OK.SLIST
366.0,DI_AD_ALREADY_EXITS,1.0,E,%LThe attribute dictionary specified already exists.,SASHELP.FSP.OK.SLIST
367.0,DI_AD_RENAME_UNSUCCESSFUL,1.0,E,%LAttribute dictionary %1$ cannot be renamed. Please see log for messages.,SASHELP.FSP.OK.SLIST
397.0,IN_NO_APPL_FOUND,1.0,W,%LNo application databases found in the specified path.,SASHELP.FSP.OK.SLIST
398.0,IN_NO_OBJ_FOUND,1.0,W,%LNo object group databases found in the specified path.,SASHELP.FSP.OK.SLIST
399.0,IN_NO_MB_FOUND,1.0,N,%LNo metabases found in the specified path.,SASHELP.FSP.OK.SLIST
400.0,IN_NO_AD_FOUND,1.0,W,%LNo attribute dictionaries found in the specified path.,SASHELP.FSP.OK.SLIST
401.0,IN_NO_ADS_FOUND,1.0,W,%LNo attribute dictionaries found in the specified path. Select another path or cancel to quit.,SASHELP.FSP.OK.SLIST
407.0,IN_COMP_LEVELS_TITLE,1.0,O,Computed Values,SASHELP.FSP.OK.SLIST
408.0,IN_LEVELS,1.0,O,Values,SASHELP.FSP.OK.SLIST
410.0,IN_MUST_HAVE_LOCATION,1.0,E,You must specify a location for the computed level.,SASHELP.FSP.OK.SLIST
411.0,CL_CALCS_LIST,1.0,L,"Difference of two values, Sum of two or more values, Ratio of two values, Percent, Mean of two or more values, Minimum of two or more values, Maximum of two or more values",SASHELP.FSP.OK.SLIST
