unicode,ibm,pcms
U+30A1,4347,A5A1
U+30A2,4320,A5A2
U+30A3,4348,A5A3
U+30A4,4320,A5A4
U+30A5,4349,A5A5
U+30A6,4320,A5A6
U+30A7,4351,A5A7
U+30A8,4320,A5A8
U+30A9,4352,A5A9
U+30AA,4320,A5AA
U+30AB,4320,A5AB
U+30AC,43C0,A5AC
U+30AD,4320,A5AD
U+30AE,43C1,A5AE
U+30AF,4320,A5AF
U+30B0,43C2,A5B0
U+30B1,4320,A5B1
U+30B2,43C3,A5B2
U+30B3,4320,A5B3
U+30B4,43C4,A5B4
U+30B5,4320,A5B5
U+30B6,43C5,A5B6
U+30B7,4320,A5B7
U+30B8,43C6,A5B8
U+30B9,4320,A5B9
U+30BA,43C7,A5BA
U+30BB,4320,A5BB
U+30BC,43C8,A5BC
U+30BD,4320,A5BD
U+30BE,43C9,A5BE
U+30BF,4320,A5BF
U+30C0,43CA,A5C0
U+30C1,4320,A5C1
U+30C2,43CB,A5C2
U+30C3,4356,A5C3
U+30C4,4320,A5C4
U+30C5,43CC,A5C5
U+30C6,4320,A5C6
U+30C7,43CD,A5C7
U+30C8,4320,A5C8
U+30C9,43CE,A5C9
U+30CA,4320,A5CA
U+30CB,4320,A5CB
U+30CC,4320,A5CC
U+30CD,4320,A5CD
U+30CE,4320,A5CE
U+30CF,4320,A5CF
U+30D0,43CF,A5D0
U+30D1,43D5,A5D1
U+30D2,4320,A5D2
U+30D3,43D0,A5D3
U+30D4,43D6,A5D4
U+30D5,4320,A5D5
U+30D6,43D1,A5D6
U+30D7,43D7,A5D7
U+30D8,43A2,A5D8
U+30D9,43D2,A5D9
U+30DA,43D8,A5DA
U+30DB,43A3,A5DB
U+30DC,43D3,A5DC
U+30DD,43D9,A5DD
U+30DE,43A4,A5DE
U+30DF,43A5,A5DF
U+3020,43A6,A520
U+3020,43A7,A520
U+3020,43A8,A520
U+3020,4353,A520
U+3020,43A9,A520
U+3020,4354,A520
U+3020,43AA,A520
U+3020,4355,A520
U+3020,43AC,A520
U+3020,43AD,A520
U+3020,43AE,A520
U+3020,43AF,A520
U+3020,43BA,A520
U+3020,43BB,A520
U+3020,4357,A520
U+3020,43BC,A520
U+3020,43DA,A520
U+3020,43DB,A520
U+3020,4346,A520
U+3020,43BD,A520
U+3020,43D4,A520
U+3020,4359,A520
U+3020,435A,A520
U+0320,4161,A6A1
U+0320,4162,A6A2
U+0320,4163,A6A3
U+0320,4164,A6A4
U+0320,4165,A6A5
U+0320,4166,A6A6
U+0320,4167,A6A7
U+0320,4168,A6A8
U+0320,4169,A6A9
U+0320,416A,A6AA
U+0320,416B,A6AB
U+0320,416C,A6AC
