unicode,ibm,pcms
U+8FDB,4F20,BD20
U+9773,4F20,BD20
U+664B,4F20,BD20
U+7920,4F20,BD20
U+8FD1,4F20,BD20
U+7020,4F20,BDFD
U+6D78,4F20,BDFE
U+5C3D,4FA0,BEA1
U+52B2,4FA1,BEA2
U+8346,4FA2,BEA3
U+5162,4FA3,BEA4
U+830E,4FA4,BEA5
U+775B,4FA5,BEA6
U+6676,4FA6,BEA7
U+9CB8,4FA7,BEA8
U+4EAC,4FA8,BEA9
U+60CA,4FA9,BEAA
U+7CBE,4FAA,BEAB
U+7CB3,4FAB,BEAC
U+7ECF,4FAC,BEAD
U+4E20,4FAD,BEAE
U+8B66,4FAE,BEAF
U+666F,4FAF,BEB0
U+9888,4FB0,BEB1
U+9759,4FB1,BEB2
U+5820,4FB2,BEB3
U+656C,4FB3,BEB4
U+955C,4FB4,BEB5
U+5F20,4FB5,BEB6
U+75C9,4FB6,BEB7
U+9756,4FB7,BEB8
U+7ADF,4FB8,BEB9
U+7ADE,4FB9,BEBA
U+51C0,4FBA,BEBB
U+70AF,4FBB,BEBC
U+7A20,4FBC,BEBD
U+6320,4FBD,BEBE
U+7A76,4FBE,BEBF
U+7EA0,4FBF,BEC0
U+7320,4FC0,BEC1
U+97ED,4FC1,BEC2
U+4E45,4FC2,BEC3
U+7078,4FC3,BEC4
U+4E5D,4FC4,BEC5
U+9152,4FC5,BEC6
U+53A9,4FC6,BEC7
U+6551,4FC7,BEC8
U+6520,4FC8,BEC9
U+81FC,4FC9,BECA
U+8205,4FCA,BECB
U+5420,4FCB,BECC
U+5C31,4FCC,BECD
U+7520,4FCD,BECE
U+97A0,4FCE,BECF
U+62D8,4FCF,BED0
U+72D9,4FD0,BED1
U+75BD,4FD1,BED2
U+5C45,4FD2,BED3
U+9A79,4FD3,BED4
U+83CA,4FD4,BED5
U+5C40,4FD5,BED6
U+5480,4FD6,BED7
U+7720,4FD7,BED8
U+4E3E,4FD8,BED9
U+6CAE,4FD9,BEDA
U+805A,4FDA,BEDB
U+62D2,4FDB,BEDC
U+636E,4FDC,BEDD
U+5D20,4FDD,BEDE
U+5177,4FDE,BEDF
U+8DDD,4FDF,BE20
U+8E1E,4F20,BE20
U+952F,4F20,BE20
U+4F20,4F20,BE20
U+5320,4F20,BE20
U+6020,4F20,BE20
U+70AC,4F20,BE20
U+5267,4F20,BE20
U+6350,4F20,BE20
U+9E43,4F20,BE20
U+5A1F,4F20,BE20
U+5026,4F20,BE20
U+7737,4F20,BE20
U+5377,4F20,BE20
U+7E20,4F20,BE20
U+6420,4F20,BE20
U+652B,4F20,BE20
U+6220,4F20,BE20
U+6320,4F20,BE20
U+5014,4F20,BE20
U+7235,4F20,BE20
U+89C9,4F20,BE20
U+51B3,4F20,BE20
U+8BC0,4F20,BE20
U+7EDD,4F20,BE20
U+5747,4F20,BE20
U+83CC,4F20,BE20
U+94A7,4F20,BE20
U+5120,4F20,BE20
U+541B,4F20,BEFD
U+5C20,4FFD,BEFE
U+4FCA,5041,BFA1
U+7A20,5042,BFA2
U+6D5A,5043,BFA3
U+90E1,5044,BFA4
U+9A8F,5045,BFA5
U+5580,5046,BFA6
U+5420,5047,BFA7
U+5361,5048,BFA8
U+54AF,5049,BFA9
U+5F00,504A,BFAA
U+6320,504B,BFAB
U+6977,504C,BFAC
U+5120,504D,BFAD
U+6168,504E,BFAE
U+520A,504F,BFAF
U+582A,5050,BFB0
U+52D8,5051,BFB1
U+574E,5052,BFB2
U+780D,5053,BFB3
U+770B,5054,BFB4
U+5EB7,5055,BFB5
U+6177,5056,BFB6
U+7C20,5057,BFB7
U+625B,5058,BFB8
U+6220,5059,BFB9
U+4EA2,505A,BFBA
U+7020,505B,BFBB
U+8003,505C,BFBC
U+6220,505D,BFBD
U+7020,505E,BFBE
U+9760,505F,BFBF
U+5777,5060,BFC0
U+82DB,5061,BFC1
U+6720,5062,BFC2
U+6820,5063,BFC3
U+78D5,5064,BFC4
U+9897,5065,BFC5
U+79D1,5066,BFC6
U+5820,5067,BFC7
U+54B3,5068,BFC8
U+5320,5069,BFC9
U+6E34,506A,BFCA
U+514B,506B,BFCB
U+523B,506C,BFCC
U+5BA2,506D,BFCD
U+8BFE,506E,BFCE
U+80AF,506F,BFCF
U+5543,5070,BFD0
U+57A6,5071,BFD1
U+6073,5072,BFD2
U+5751,5073,BFD3
U+542D,5074,BFD4
U+7A7A,5075,BFD5
U+6050,5076,BFD6
U+5B54,5077,BFD7
U+63A7,5078,BFD8
U+62A0,5079,BFD9
U+5320,507A,BFDA
U+6263,507B,BFDB
U+5BC7,507C,BFDC
U+67AF,507D,BFDD
U+5420,507E,BFDE
U+7A20,507F,BFDF
U+82E6,5020,BF20
U+9177,5020,BF20
U+5E20,5020,BF20
U+88E4,5020,BF20
U+5938,5020,BF20
U+57AE,5020,BF20
U+630E,5020,BF20
U+8DE8,5020,BF20
U+8020,5020,BF20
U+5757,5020,BF20
U+7B77,5020,BF20
U+4FA9,5020,BF20
U+5F20,5020,BF20
U+5BBD,5020,BF20
U+6B3E,5020,BF20
U+5321,5020,BF20
U+7B50,5020,BF20
U+72C2,5020,BF20
U+6846,5020,BF20
U+77FF,5020,BF20
U+7736,5020,BF20
U+6520,5020,BF20
U+51B5,5020,BF20
U+4E20,5020,BF20
U+76D4,5020,BF20
U+5CBF,5020,BF20
U+7AA5,5020,BF20
U+8475,5020,BF20
U+594E,5020,BF20
U+9B41,5020,BFFD
U+5080,5020,BFFE
U+9988,50A0,C0A1
U+6127,50A1,C0A2
U+6E20,50A2,C0A3
U+5764,50A3,C0A4
U+6606,50A4,C0A5
U+6346,50A5,C0A6
U+5620,50A6,C0A7
U+6220,50A7,C0A8
U+6269,50A8,C0A9
U+5ED3,50A9,C0AA
U+9614,50AA,C0AB
U+5720,50AB,C0AC
U+62C9,50AC,C0AD
U+5520,50AD,C0AE
U+8721,50AE,C0AF
U+814A,50AF,C0B0
U+8FA3,50B0,C0B1
U+5566,50B1,C0B2
U+83B1,50B2,C0B3
U+6765,50B3,C0B4
U+8D56,50B4,C0B5
U+84DD,50B5,C0B6
U+5A6A,50B6,C0B7
U+680F,50B7,C0B8
U+6220,50B8,C0B9
U+7B20,50B9,C0BA
U+9611,50BA,C0BB
U+5170,50BB,C0BC
U+6F20,50BC,C0BD
U+8C30,50BD,C0BE
U+63FD,50BE,C0BF
U+89C8,50BF,C0C0
U+61D2,50C0,C0C1
U+7F06,50C1,C0C2
U+70C2,50C2,C0C3
U+6E20,50C3,C0C4
U+7405,50C4,C0C5
U+6920,50C5,C0C6
U+7220,50C6,C0C7
U+5ECA,50C7,C0C8
U+90CE,50C8,C0C9
U+6717,50C9,C0CA
U+6D6A,50CA,C0CB
U+635E,50CB,C0CC
U+52B3,50CC,C0CD
U+7262,50CD,C0CE
U+8001,50CE,C0CF
U+4F6C,50CF,C0D0
U+5920,50D0,C0D1
U+916A,50D1,C0D2
U+70D9,50D2,C0D3
U+6D20,50D3,C0D4
U+52D2,50D4,C0D5
U+4E50,50D5,C0D6
U+96F7,50D6,C0D7
U+956D,50D7,C0D8
U+857E,50D8,C0D9
U+78CA,50D9,C0DA
U+7D2F,50DA,C0DB
U+5121,50DB,C0DC
U+5720,50DC,C0DD
U+64C2,50DD,C0DE
U+8020,50DE,C0DF
U+7C7B,50DF,C020
U+6C20,5020,C020
U+6820,5020,C020
U+695E,5020,C020
U+51B7,5020,C020
U+5320,5020,C020
U+68A8,5020,C020
U+7220,5020,C020
U+9ECE,5020,C020
U+7B20,5020,C020
U+7220,5020,C020
U+79BB,5020,C020
U+6F13,5020,C020
U+7406,5020,C020
U+674E,5020,C020
U+91CC,5020,C020
U+9CA4,5020,C020
U+793C,5020,C020
U+8389,5020,C020
U+8354,5020,C020
U+540F,5020,C020
U+6817,5020,C020
U+4E3D,5020,C020
U+5320,5020,C020
U+52B1,5020,C020
U+783E,5020,C020
U+5320,5020,C020
U+5229,5020,C020
U+5020,5020,C020
U+4F20,5020,C0FD
U+4FD0,50FD,C0FE
U+7520,5141,C1A1
U+7ACB,5142,C1A2
U+7C20,5143,C1A3
U+6CA5,5144,C1A4
U+96B6,5145,C1A5
U+5220,5146,C1A6
U+7420,5147,C1A7
U+5420,5148,C1A8
U+4F20,5149,C1A9
U+8054,514A,C1AA
U+83B2,514B,C1AB
U+8FDE,514C,C1AC
U+9570,514D,C1AD
U+5EC9,514E,C1AE
U+601C,514F,C1AF
U+6D20,5150,C1B0
U+5E18,5151,C1B1
U+655B,5152,C1B2
U+8138,5153,C1B3
U+94FE,5154,C1B4
U+604B,5155,C1B5
U+70BC,5156,C1B6
U+7EC3,5157,C1B7
U+7CAE,5158,C1B8
U+51C9,5159,C1B9
U+6820,515A,C1BA
U+7CB1,515B,C1BB
U+826F,515C,C1BC
U+4E24,515D,C1BD
U+8F86,515E,C1BE
U+91CF,515F,C1BF
U+667E,5160,C1C0
U+4EAE,5161,C1C1
U+8C05,5162,C1C2
U+64A9,5163,C1C3
U+804A,5164,C1C4
U+50DA,5165,C1C5
U+7520,5166,C1C6
U+71CE,5167,C1C7
U+5B20,5168,C1C8
U+8FBD,5169,C1C9
U+6F66,516A,C1CA
U+4E20,516B,C1CB
U+6420,516C,C1CC
U+9563,516D,C1CD
U+5ED6,516E,C1CE
U+6520,516F,C1CF
U+5217,5170,C1D0
U+88C2,5171,C1D1
U+70C8,5172,C1D2
U+52A3,5173,C1D3
U+730E,5174,C1D4
U+7433,5175,C1D5
U+6720,5176,C1D6
U+7820,5177,C1D7
U+9716,5178,C1D8
U+4E34,5179,C1D9
U+90BB,517A,C1DA
U+9CDE,517B,C1DB
U+6DCB,517C,C1DC
U+51DB,517D,C1DD
U+8D41,517E,C1DE
U+541D,517F,C1DF
U+62CE,5120,C120
U+73B2,5120,C120
U+83F1,5120,C120
U+96F6,5120,C120
U+9F84,5120,C120
U+94C3,5120,C120
U+4F36,5120,C120
U+7F20,5120,C120
U+51CC,5120,C120
U+7075,5120,C120
U+9675,5120,C120
U+5CAD,5120,C120
U+9886,5120,C120
U+5320,5120,C120
U+4E20,5120,C120
U+6E20,5120,C120
U+7409,5120,C120
U+69B4,5120,C120
U+786B,5120,C120
U+998F,5120,C120
U+7559,5120,C120
U+5218,5120,C120
U+7624,5120,C120
U+6D41,5120,C120
U+6720,5120,C120
U+516D,5120,C120
U+9F99,5120,C120
U+804B,5120,C120
U+5420,5120,C120
U+7B3C,5120,C1FD
U+7ABF,5120,C1FE
U+9686,51A0,C2A1
U+5720,51A1,C2A2
U+6220,51A2,C2A3
U+9647,51A3,C2A4
U+697C,51A4,C2A5
U+5A04,51A5,C2A6
U+6402,51A6,C2A7
U+7BD3,51A7,C2A8
U+6F0F,51A8,C2A9
U+964B,51A9,C2AA
U+82A6,51AA,C2AB
U+5362,51AB,C2AC
U+9885,51AC,C2AD
U+5E20,51AD,C2AE
U+7020,51AE,C2AF
U+63B3,51AF,C2B0
U+5364,51B0,C2B1
U+864F,51B1,C2B2
U+9C81,51B2,C2B3
U+9E93,51B3,C2B4
U+7820,51B4,C2B5
U+9732,51B5,C2B6
U+8DEF,51B6,C2B7
U+8D42,51B7,C2B8
U+9E7F,51B8,C2B9
U+6F5E,51B9,C2BA
U+7920,51BA,C2BB
U+5F55,51BB,C2BC
U+9646,51BC,C2BD
U+622E,51BD,C2BE
U+9A74,51BE,C2BF
U+5415,51BF,C2C0
U+94DD,51C0,C2C1
U+4FA3,51C1,C2C2
U+65C5,51C2,C2C3
U+5C65,51C3,C2C4
U+5C61,51C4,C2C5
U+7F15,51C5,C2C6
U+8651,51C6,C2C7
U+6C2F,51C7,C2C8
U+5F20,51C8,C2C9
U+7320,51C9,C2CA
U+6E20,51CA,C2CB
U+7EFF,51CB,C2CC
U+5C20,51CC,C2CD
U+631B,51CD,C2CE
U+5B6A,51CE,C2CF
U+6E20,51CF,C2D0
U+5375,51D0,C2D1
U+4E71,51D1,C2D2
U+63A0,51D2,C2D3
U+7565,51D3,C2D4
U+62A1,51D4,C2D5
U+8F6E,51D5,C2D6
U+4F26,51D6,C2D7
U+4ED1,51D7,C2D8
U+6CA6,51D8,C2D9
U+7EB6,51D9,C2DA
U+8BBA,51DA,C2DB
U+841D,51DB,C2DC
U+87BA,51DC,C2DD
U+7F57,51DD,C2DE
U+903B,51DE,C2DF
U+9523,51DF,C220
U+7BA9,5120,C220
U+9AA1,5120,C220
U+88F8,5120,C220
U+843D,5120,C220
U+6D1B,5120,C220
U+9A86,5120,C220
U+7EDC,5120,C220
U+5920,5120,C220
U+9EBB,5120,C220
U+7320,5120,C220
U+7801,5120,C220
U+8682,5120,C220
U+9A6C,5120,C220
U+9A82,5120,C220
U+561B,5120,C220
U+5417,5120,C220
U+57CB,5120,C220
U+4E70,5120,C220
U+9EA6,5120,C220
U+5356,5120,C220
U+8FC8,5120,C220
U+8109,5120,C220
U+7720,5120,C220
U+9992,5120,C220
U+86EE,5120,C220
U+6E20,5120,C220
U+8513,5120,C220
U+6620,5120,C220
U+6162,5120,C2FD
U+6F2B,51FD,C2FE
U+8C29,5241,C3A1
U+8292,5242,C3A2
U+832B,5243,C3A3
U+7620,5244,C3A4
U+6C13,5245,C3A5
U+5FD9,5246,C3A6
U+83BD,5247,C3A7
U+732B,5248,C3A8
U+8305,5249,C3A9
U+951A,524A,C3AA
U+6BDB,524B,C3AB
U+77DB,524C,C3AC
U+94C6,524D,C3AD
U+536F,524E,C3AE
U+8302,524F,C3AF
U+5120,5250,C3B0
U+5E3D,5251,C3B1
U+8C8C,5252,C3B2
U+8D38,5253,C3B3
U+4E48,5254,C3B4
U+73AB,5255,C3B5
U+6720,5256,C3B6
U+6820,5257,C3B7
U+9176,5258,C3B8
U+9709,5259,C3B9
U+7164,525A,C3BA
U+6CA1,525B,C3BB
U+7709,525C,C3BC
U+5A20,525D,C3BD
U+9541,525E,C3BE
U+6BCF,525F,C3BF
U+7F20,5260,C3C0
U+6627,5261,C3C1
U+5BD0,5262,C3C2
U+59B9,5263,C3C3
U+5A20,5264,C3C4
U+95E8,5265,C3C5
U+95F7,5266,C3C6
U+4E20,5267,C3C7
U+840C,5268,C3C8
U+8499,5269,C3C9
U+6AAC,526A,C3CA
U+76DF,526B,C3CB
U+9530,526C,C3CC
U+731B,526D,C3CD
U+68A6,526E,C3CE
U+5B5F,526F,C3CF
U+772F,5270,C3D0
U+919A,5271,C3D1
U+9761,5272,C3D2
U+7CDC,5273,C3D3
U+8FF7,5274,C3D4
U+8C1C,5275,C3D5
U+5F25,5276,C3D6
U+7C73,5277,C3D7
U+79D8,5278,C3D8
U+89C5,5279,C3D9
U+6CCC,527A,C3DA
U+871C,527B,C3DB
U+5BC6,527C,C3DC
U+5E42,527D,C3DD
U+68C9,527E,C3DE
U+7720,527F,C3DF
U+7E20,5220,C320
U+5120,5220,C320
U+514D,5220,C320
U+52C9,5220,C320
U+5A29,5220,C320
U+7F05,5220,C320
U+9762,5220,C320
U+82D7,5220,C320
U+63CF,5220,C320
U+7720,5220,C320
U+85D0,5220,C320
U+79D2,5220,C320
U+6E3A,5220,C320
U+5E20,5220,C320
U+5920,5220,C320
U+8511,5220,C320
U+706D,5220,C320
U+6C11,5220,C320
U+62BF,5220,C320
U+76BF,5220,C320
U+654F,5220,C320
U+60AF,5220,C320
U+95FD,5220,C320
U+660E,5220,C320
U+879F,5220,C320
U+9E23,5220,C320
U+94ED,5220,C320
U+540D,5220,C320
U+547D,5220,C320
U+8C2C,5220,C3FD
U+6478,5220,C3FE
U+6479,52A0,C4A1
U+8611,52A1,C4A2
U+6A21,52A2,C4A3
U+819C,52A3,C4A4
U+7820,52A4,C4A5
U+6469,52A5,C4A6
U+9B54,52A6,C4A7
U+62B9,52A7,C4A8
U+672B,52A8,C4A9
U+83AB,52A9,C4AA
U+58A8,52AA,C4AB
U+9ED8,52AB,C4AC
U+6CAB,52AC,C4AD
U+6F20,52AD,C4AE
U+5BDE,52AE,C4AF
U+964C,52AF,C4B0
U+8C0B,52B0,C4B1
U+725F,52B1,C4B2
U+67D0,52B2,C4B3
U+62C7,52B3,C4B4
U+7261,52B4,C4B5
U+4EA9,52B5,C4B6
U+59C6,52B6,C4B7
U+6BCD,52B7,C4B8
U+5820,52B8,C4B9
U+66AE,52B9,C4BA
U+5E55,52BA,C4BB
U+52DF,52BB,C4BC
U+6155,52BC,C4BD
U+6728,52BD,C4BE
U+7620,52BE,C4BF
U+7766,52BF,C4C0
U+7267,52C0,C4C1
U+7A46,52C1,C4C2
U+62FF,52C2,C4C3
U+5420,52C3,C4C4
U+5450,52C4,C4C5
U+94A0,52C5,C4C6
U+90A3,52C6,C4C7
U+5A1C,52C7,C4C8
U+7EB3,52C8,C4C9
U+6C16,52C9,C4CA
U+4E43,52CA,C4CB
U+5976,52CB,C4CC
U+8010,52CC,C4CD
U+5948,52CD,C4CE
U+5357,52CE,C4CF
U+7537,52CF,C4D0
U+96BE,52D0,C4D1
U+56CA,52D1,C4D2
U+6320,52D2,C4D3
U+8111,52D3,C4D4
U+607C,52D4,C4D5
U+95F9,52D5,C4D6
U+6DD6,52D6,C4D7
U+5462,52D7,C4D8
U+9981,52D8,C4D9
U+5120,52D9,C4DA
U+5A20,52DA,C4DB
U+80FD,52DB,C4DC
U+59AE,52DC,C4DD
U+9713,52DD,C4DE
U+502A,52DE,C4DF
U+6C20,52DF,C420
U+5C3C,5220,C420
U+62DF,5220,C420
U+4F60,5220,C420
U+533F,5220,C420
U+817B,5220,C420
U+9006,5220,C420
U+6EBA,5220,C420
U+852B,5220,C420
U+62C8,5220,C420
U+5E74,5220,C420
U+78BE,5220,C420
U+64B5,5220,C420
U+637B,5220,C420
U+5F20,5220,C420
U+5A18,5220,C420
U+917F,5220,C420
U+9E1F,5220,C420
U+5C3F,5220,C420
U+634F,5220,C420
U+8042,5220,C420
U+5B7D,5220,C420
U+556E,5220,C420
U+954A,5220,C420
U+954D,5220,C420
U+6D20,5220,C420
U+60A8,5220,C420
U+6720,5220,C420
U+72DE,5220,C420
U+51DD,5220,C4FD
U+5B20,52FD,C4FE
U+6220,5341,C5A1
U+6CDE,5342,C5A2
U+725B,5343,C5A3
U+626D,5344,C5A4
U+94AE,5345,C5A5
U+7EBD,5346,C5A6
U+8113,5347,C5A7
U+6D53,5348,C5A8
U+5120,5349,C5A9
U+5F04,534A,C5AA
U+5974,534B,C5AB
U+52AA,534C,C5AC
U+6012,534D,C5AD
U+5973,534E,C5AE
U+6620,534F,C5AF
U+8650,5350,C5B0
U+7520,5351,C5B1
U+632A,5352,C5B2
U+6120,5353,C5B3
U+7C20,5354,C5B4
U+8BFA,5355,C5B5
U+5420,5356,C5B6
U+6B27,5357,C5B7
U+9E25,5358,C5B8
U+6BB4,5359,C5B9
U+85D5,535A,C5BA
U+5455,535B,C5BB
U+5076,535C,C5BC
U+6CA4,535D,C5BD
U+556A,535E,C5BE
U+8DB4,535F,C5BF
U+722C,5360,C5C0
U+5E15,5361,C5C1
U+6015,5362,C5C2
U+7436,5363,C5C3
U+62CD,5364,C5C4
U+6320,5365,C5C5
U+724C,5366,C5C6
U+5F20,5367,C5C7
U+6E43,5368,C5C8
U+6D3E,5369,C5C9
U+6500,536A,C5CA
U+6F58,536B,C5CB
U+76D8,536C,C5CC
U+78D0,536D,C5CD
U+7620,536E,C5CE
U+7554,536F,C5CF
U+5224,5370,C5D0
U+53DB,5371,C5D1
U+4E53,5372,C5D2
U+5E20,5373,C5D3
U+65C1,5374,C5D4
U+802A,5375,C5D5
U+80D6,5376,C5D6
U+6220,5377,C5D7
U+5420,5378,C5D8
U+5228,5379,C5D9
U+70AE,537A,C5DA
U+888D,537B,C5DB
U+8DD1,537C,C5DC
U+6C20,537D,C5DD
U+5478,537E,C5DE
U+80DA,537F,C5DF
U+5720,5320,C520
U+88F4,5320,C520
U+8D54,5320,C520
U+966A,5320,C520
U+914D,5320,C520
U+4F69,5320,C520
U+6C20,5320,C520
U+55B7,5320,C520
U+76C6,5320,C520
U+7830,5320,C520
U+62A8,5320,C520
U+7020,5320,C520
U+6F20,5320,C520
U+5F6D,5320,C520
U+84EC,5320,C520
U+68DA,5320,C520
U+787C,5320,C520
U+7B20,5320,C520
U+81A8,5320,C520
U+670B,5320,C520
U+9E4F,5320,C520
U+6367,5320,C520
U+78B0,5320,C520
U+576F,5320,C520
U+7812,5320,C520
U+9739,5320,C520
U+6279,5320,C520
U+62AB,5320,C520
U+5220,5320,C520
U+7435,5320,C5FD
U+6BD7,5320,C5FE
U+5564,53A0,C6A1
U+813E,53A1,C6A2
U+75B2,53A2,C6A3
U+76AE,53A3,C6A4
U+5339,53A4,C6A5
U+75DE,53A5,C6A6
U+5020,53A6,C6A7
U+5C41,53A7,C6A8
U+8B6C,53A8,C6A9
U+7BC7,53A9,C6AA
U+504F,53AA,C6AB
U+7247,53AB,C6AC
U+9A97,53AC,C6AD
U+98D8,53AD,C6AE
U+6F02,53AE,C6AF
U+7420,53AF,C6B0
U+7968,53B0,C6B1
U+6420,53B1,C6B2
U+77A5,53B2,C6B3
U+6220,53B3,C6B4
U+9891,53B4,C6B5
U+8D2B,53B5,C6B6
U+54C1,53B6,C6B7
U+8058,53B7,C6B8
U+4E52,53B8,C6B9
U+576A,53B9,C6BA
U+82F9,53BA,C6BB
U+840D,53BB,C6BC
U+5E73,53BC,C6BD
U+5120,53BD,C6BE
U+7420,53BE,C6BF
U+8BC4,53BF,C6C0
U+5C4F,53C0,C6C1
U+5761,53C1,C6C2
U+6C20,53C2,C6C3
U+9887,53C3,C6C4
U+5A46,53C4,C6C5
U+7834,53C5,C6C6
U+9B44,53C6,C6C7
U+8FEB,53C7,C6C8
U+7C20,53C8,C6C9
U+5256,53C9,C6CA
U+6251,53CA,C6CB
U+94FA,53CB,C6CC
U+4EC6,53CC,C6CD
U+8386,53CD,C6CE
U+8461,53CE,C6CF
U+83E9,53CF,C6D0
U+84B2,53D0,C6D1
U+57D4,53D1,C6D2
U+6734,53D2,C6D3
U+5703,53D3,C6D4
U+666E,53D4,C6D5
U+6D66,53D5,C6D6
U+8C31,53D6,C6D7
U+66DD,53D7,C6D8
U+7011,53D8,C6D9
U+671F,53D9,C6DA
U+6B3A,53DA,C6DB
U+6816,53DB,C6DC
U+621A,53DC,C6DD
U+59BB,53DD,C6DE
U+4E03,53DE,C6DF
U+51C4,53DF,C620
U+6F06,5320,C620
U+67D2,5320,C620
U+6C20,5320,C620
U+5176,5320,C620
U+68CB,5320,C620
U+5947,5320,C620
U+6B67,5320,C620
U+7566,5320,C620
U+5D0E,5320,C620
U+8110,5320,C620
U+9F50,5320,C620
U+65D7,5320,C620
U+7948,5320,C620
U+7941,5320,C620
U+9A91,5320,C620
U+8D77,5320,C620
U+5C20,5320,C620
U+4E5E,5320,C620
U+4F01,5320,C620
U+542F,5320,C620
U+5951,5320,C620
U+780C,5320,C620
U+5668,5320,C620
U+6C14,5320,C620
U+8FC4,5320,C620
U+5F03,5320,C620
U+6C7D,5320,C620
U+6C20,5320,C620
U+8BAB,5320,C6FD
U+6320,53FD,C6FE
U+6070,5441,C7A1
U+6D3D,5442,C7A2
U+7275,5443,C7A3
U+6266,5444,C7A4
U+948E,5445,C7A5
U+94C5,5446,C7A6
U+5343,5447,C7A7
U+8FC1,5448,C7A8
U+7B7E,5449,C7A9
U+4EDF,544A,C7AA
U+8C26,544B,C7AB
U+4E7E,544C,C7AC
U+9ED4,544D,C7AD
U+94B1,544E,C7AE
U+94B3,544F,C7AF
U+524D,5450,C7B0
U+6F5C,5451,C7B1
U+9063,5452,C7B2
U+6D45,5453,C7B3
U+8C34,5454,C7B4
U+5811,5455,C7B5
U+5D4C,5456,C7B6
U+6B20,5457,C7B7
U+6B49,5458,C7B8
U+67AA,5459,C7B9
U+545B,545A,C7BA
U+8154,545B,C7BB
U+7F20,545C,C7BC
U+5820,545D,C7BD
U+8537,545E,C7BE
U+5F3A,545F,C7BF
U+62A2,5460,C7C0
U+6A47,5461,C7C1
U+9539,5462,C7C2
U+6572,5463,C7C3
U+6020,5464,C7C4
U+6865,5465,C7C5
U+77A7,5466,C7C6
U+4E54,5467,C7C7
U+4FA8,5468,C7C8
U+5D20,5469,C7C9
U+9798,546A,C7CA
U+64AC,546B,C7CB
U+7FD8,546C,C7CC
U+5C20,546D,C7CD
U+4FCF,546E,C7CE
U+7A20,546F,C7CF
U+5207,5470,C7D0
U+8304,5471,C7D1
U+4E14,5472,C7D2
U+602F,5473,C7D3
U+7A20,5474,C7D4
U+94A6,5475,C7D5
U+4FB5,5476,C7D6
U+4EB2,5477,C7D7
U+7920,5478,C7D8
U+7434,5479,C7D9
U+5220,547A,C7DA
U+82B9,547B,C7DB
U+64D2,547C,C7DC
U+79BD,547D,C7DD
U+5BDD,547E,C7DE
U+6C20,547F,C7DF
U+9752,5420,C720
U+8F7B,5420,C720
U+6C22,5420,C720
U+503E,5420,C720
U+537F,5420,C720
U+6E05,5420,C720
U+64CE,5420,C720
U+6674,5420,C720
U+6C30,5420,C720
U+60C5,5420,C720
U+9877,5420,C720
U+8BF7,5420,C720
U+5E20,5420,C720
U+743C,5420,C720
U+7A77,5420,C720
U+79CB,5420,C720
U+4E18,5420,C720
U+90B1,5420,C720
U+7403,5420,C720
U+6C42,5420,C720
U+56DA,5420,C720
U+914B,5420,C720
U+6CC5,5420,C720
U+8D8B,5420,C720
U+533A,5420,C720
U+86C6,5420,C720
U+6620,5420,C720
U+8EAF,5420,C720
U+5C48,5420,C720
U+9A71,5420,C7FD
U+6E20,5420,C7FE
U+53D6,54A0,C8A1
U+5A36,54A1,C8A2
U+9F8B,54A2,C8A3
U+8DA3,54A3,C8A4
U+53BB,54A4,C8A5
U+5708,54A5,C8A6
U+98A7,54A6,C8A7
U+6743,54A7,C8A8
U+919B,54A8,C8A9
U+6CC9,54A9,C8AA
U+5168,54AA,C8AB
U+75CA,54AB,C8AC
U+6220,54AC,C8AD
U+72AC,54AD,C8AE
U+5238,54AE,C8AF
U+5220,54AF,C8B0
U+7F3A,54B0,C8B1
U+7020,54B1,C8B2
U+7638,54B2,C8B3
U+5374,54B3,C8B4
U+9E4A,54B4,C8B5
U+69B7,54B5,C8B6
U+786E,54B6,C8B7
U+96C0,54B7,C8B8
U+88D9,54B8,C8B9
U+7FA4,54B9,C8BA
U+7136,54BA,C8BB
U+71C3,54BB,C8BC
U+5120,54BC,C8BD
U+67D3,54BD,C8BE
U+7420,54BE,C8BF
U+5820,54BF,C8C0
U+6518,54C0,C8C1
U+56B7,54C1,C8C2
U+8BA9,54C2,C8C3
U+9976,54C3,C8C4
U+6270,54C4,C8C5
U+7ED5,54C5,C8C6
U+6020,54C6,C8C7
U+7020,54C7,C8C8
U+5820,54C8,C8C9
U+4EC1,54C9,C8CA
U+4EBA,54CA,C8CB
U+5FCD,54CB,C8CC
U+97E7,54CC,C8CD
U+4E20,54CD,C8CE
U+8BA4,54CE,C8CF
U+5203,54CF,C8D0
U+5920,54D0,C8D1
U+7EAB,54D1,C8D2
U+6254,54D2,C8D3
U+4ECD,54D3,C8D4
U+6520,54D4,C8D5
U+620E,54D5,C8D6
U+8338,54D6,C8D7
U+84C9,54D7,C8D8
U+8363,54D8,C8D9
U+878D,54D9,C8DA
U+7120,54DA,C8DB
U+6EB6,54DB,C8DC
U+5BB9,54DC,C8DD
U+7ED2,54DD,C8DE
U+5120,54DE,C8DF
U+63C9,54DF,C820
U+67D4,5420,C820
U+8020,5420,C820
U+8339,5420,C820
U+8815,5420,C820
U+5112,5420,C820
U+5B7A,5420,C820
U+5920,5420,C820
U+8FB1,5420,C820
U+4E73,5420,C820
U+6C5D,5420,C820
U+5165,5420,C820
U+8925,5420,C820
U+8F6F,5420,C820
U+962E,5420,C820
