Term,Role
jednak,Conj
jednak,Part
jednako,Conj
jednako,Part
jednaký,Num
jednoducho,Part
jednorazový,Num
jeho,Pron
jej,Pron
jest,Conj
ježiš,Interj
ježiši,Interj
ježišmaria,Interj
ježišmária,Interj
joj,Interj
jojoj,Interj
juj,Interj
jujuj,Interj
just,Part
jáj,Interj
jé,Interj
jéj,Interj
jój,Interj
júj,Interj
k,Prep
kadejaký,Pron
kadekto,Pron
kadečo,Pron
kampes,Interj
každučičký,Pron
každučký,Pron
každý,Pron
kde,Part
kdeby,Part
kdejaký,Pron
kdekto,Pron
kdečo,Pron
kdeže,Interj
kdeže,Part
kdežeby,Part
kdežto,Conj
kdovie,Interj
keby,Conj
keby,Part
kebyže,Part
kedykoľvek,Conj
keď,Conj
keď,Part
keďže,Conj
kiež,Part
kiežby,Part
kikiriki,Interj
kikirikí,Interj
klap,Interj
klep,Interj
kliky,Interj
klop,Interj
koncom,Prep
koncov,Part
konečne,Part
koniec,Part
kontra,Conj
konča,Prep
končiac,Prep
kopŕc,Interj
kotkodák,Interj
koľko,Pron
koľkokoľvek,Pron
koľkonásobný,Pron
koľkoraký,Pron
koľkože,Pron
koľkátka,Pron
koľkáty,Pron
koľký,Pron
kraj,Prep
kriste,Interj
kristeježiši,Interj
kristepane,Interj
kroch,Interj
kruci,Interj
krá,Interj
krát,Conj
kto,Pron
ktohovie,Part
ktokoľvek,Pron
ktorý,Pron
ktorýkoľvek,Pron
ktorýsi,Pron
ktosi,Pron
ktovie,Part
ktovieaký,Pron
ktoviekoľko,Pron
ktoviečo,Pron
ktože,Pron
ktožehovie,Part
ktoževie,Part
kuk,Interj
kuku,Interj
kukuk,Interj
kuví,Interj
kuš,Interj
kva,Interj
kvadriliarda,Num
kvadrilión,Num
kvak,Interj
kvap,Interj
kvik,Interj
kvintiliarda,Num
kvintilión,Num
kvo,Interj
kvok,Interj
kvá,Interj
kvák,Interj
kvázi,Part
kví,Interj
kvík,Interj
kvôli,Prep
ký,Pron
kým,Conj
kýže,Pron
kŕ,Interj
kŕk,Interj
kŕŕ,Interj
la,Interj
lala,Interj
le,Part
lebo,Conj
lebo,Part
lebože,Part
leda,Conj
leda,Part
ledakoľko,Pron
ledakto,Pron
ledačo,Pron
ledačí,Pron
ledaže,Conj
ledaže,Part
ledva,Conj
ledva,Part
ledvaže,Conj
ledvaže,Part
len,Conj
len,Part
lenže,Conj
lenže,Part
lež,Conj
lingi,Interj
lup,Interj
lupi,Interj
lupy,Interj
lá,Interj
láry,Interj
mary,Interj
materi,Interj
mať,Verb
medzi,Prep
menej,Num
menej,Part
meruôsmy,Num
mh,Interj
mhm,Interj
miesto,Prep
miliarda,Num
miliardtý,Num
milión,Num
miliónnásobný,Num
milióntina,Num
miliónty,Num
mimo,Prep
mimochodom,Part
mnoho,Num
mnohonásobný,Num
mnohoraký,Num
mnohý,Num
moc,Num
možno,Part
možnože,Part
muk,Interj
musieť,Verb
my,Pron
myk,Interj
málilinko,Num
málinko,Num
máličičko,Num
máličko,Num
málo,Num
málokto,Pron
máloktorý,Pron
máločo,Pron
mé,Interj
méé,Interj
mínus,Conj
môcť,Verb
môj,Pron
môžbyť,Part
mú,Interj
mňam,Interj
mňau,Interj
na,Interj
na,Prep
nabetón,Part
nad,Prep
nadeň,Pron
nadostač,Num
nadovšetko,Part
naisto,Part
najmenej,Num
najmenej,Part
najmä,Part
najprv,Conj
najradšej,Part
najskorej,Part
najskôr,Part
najtiaž,Part
najviac,Num
najviac,Part
najviacej,Num
najviacej,Part
nakoniec,Part
nakoľko,Conj
namiesto,Conj
namiesto,Prep
namojdušu,Interj
namojdušu,Part
namojpravdu,Part
namojveru,Part
nanajvýš,Part
nanešťastie,Part
naopak,Part
naostatok,Part
naozaj,Part
napodiv,Part
napokon,Part
naposledok,Part
naposledy,Part
napočudovanie,Part
napriek,Conj
napriek,Prep
naprieč,Prep
naprostred,Prep
naprostriedku,Prep
naprostriedok,Prep
naproti,Conj
naproti,Prep
naprotiveň,Prep
napríklad,Part
naraz,Part
naskrze,Part
naspodku,Prep
naspodok,Prep
nate,Interj
naveľa,Part
naviac,Part
naviac,Prep
navrch,Prep
navrchu,Prep
navyše,Part
navyše,Prep
navzdor,Prep
navzdory,Prep
nazdar,Interj
nazdarte,Interj
naň,Pron
naňho,Pron
našťastie,Part
nebodaj,Part
nech,Conj
nech,Part
nechže,Part
nedajboh,Part
nedajbože,Part
nejaký,Pron
nejeden,Num
neklamne,Part
nemnohý,Num
nemálo,Num
nepochybne,Part
neposledný,Num
nesporne,Part
nevedno,Part
neveľa,Num
neviem,Part
neviemkoľko,Pron
nevyhnutne,Part
nevídali,Interj
neúrekom,Num
neúrekom,Part
neďaleko,Prep
než,Conj
nie,Part
nieby,Conj
niekoľko,Pron
niekoľkonásobný,Num
niekoľkoraký,Num
niekoľký,Pron
niekto,Pron
niektorý,Pron
nielen,Conj
nielenže,Conj
nieto,Conj
nietoby,Conj
nietožeby,Conj
niečo,Pron
niečí,Pron
nieže,Part
niežeby,Conj
nijak,Part
nijako,Part
nijakovský,Pron
nijaký,Pron
nik,Pron
nikto,Pron
nič,Part
nič,Pron
ničmenej,Conj
ničí,Pron
niže,Part
niže,Prep
no,Conj
no,Interj
no,Part
nolen,Part
noniliarda,Num
nonilión,Num
nože,Interj
nula,Num
nultý,Num
nuž,Conj
nuž,Part
ná,Interj
ná,Part
náhle,Conj
náhodou,Part
následkom,Prep
náš,Pron
o,Prep
oba,Num
obidva,Num
obidvoje,Num
obojaký,Num
oboje,Num
obzvlášť,Part
obďaleč,Prep
och,Interj
od,Prep
odeň,Pron
odrazu,Part
oh,Interj
oho,Interj
ohó,Interj
ohľadne,Prep
ohľadom,Prep
oj,Interj
ojej,Interj
ojoj,Interj
ojéj,Interj
ojój,Interj
okolo,Part
okolo,Prep
okrem,Prep
oktiliarda,Num
oktilión,Num
on,Pron
ona,Pron
onakvý,Pron
onaký,Pron
onen,Pron
ono,Part
ono,Pron
onô,Pron
oný,Pron
oproti,Prep
osem,Num
osemdesiat,Num
osemdesiatdeväť,Num
osemdesiatdva,Num
osemdesiatina,Num
osemdesiatjeden,Num
osemdesiatnásobný,Num
osemdesiatosem,Num
osemdesiatpäť,Num
osemdesiatsedem,Num
osemdesiattri,Num
osemdesiaty,Num
osemdesiatšesť,Num
osemdesiatštyri,Num
osemnásobný,Num
osemnástina,Num
osemnásty,Num
osemnásť,Num
osemnásťnásobný,Num
osemsto,Num
osemtisíc,Num
osmina,Num
osmoraký,Num
osmoro,Num
ostatne,Part
ostatný,Num
ostať,Verb
otcu,Interj
ou,Interj
ovšem,Part
ozaj,Part
očividne,Part
oň,Pron
oňho,Pron
pac,Interj
paci,Interj
paf,Interj
panebože,Interj
paroma,Part
paromvie,Part
pelce,Interj
pf,Interj
pfi,Interj
pi,Interj
piaty,Num
pich,Interj
pif,Interj
plno,Num
plus,Conj
po,Part
po,Prep
pochopiteľne,Part
pod,Prep
podajeden,Num
podaktorý,Pron
podeň,Pron
podistým,Part
podspodok,Interj
podľa,Prep
pokiaľ,Conj
pokým,Conj
pol,Num
poldruha,Num
polovica,Num
polovina,Num
pomaly,Part
pomedzi,Prep
pomerne,Part
pomimo,Prep
pomocou,Prep
pomóc,Interj
pomóóc,Interj
ponad,Prep
ponadeň,Pron
poniektorý,Pron
poniže,Prep
popod,Prep
popodeň,Pron
popravde,Part
popred,Prep
popredeň,Pron
popri,Prep
poprípade,Part
poručeno,Part
poručenobohu,Part
posledný,Num
postupom,Prep
potiaľ,Conj
potom,Part
potomvšak,Conj
povedzme,Part
povedľa,Prep
povyše,Prep
poza,Prep
pozdĺž,Prep
počas,Prep
počiatkom,Prep
počnúc,Prep
počínajúc,Prep
poď,Interj
poďho,Interj
poň,Pron
poňho,Pron
prakticky,Part
pramálo,Num
pranič,Part
pranič,Pron
