role,Term,numdocs
Prep,avant d',649.0
Prep,avant de,1016.0
Prep,avant d’,160.0
Adv,avant la lettre,3.0
Conj,avant qu',298.0
Conj,avant que,808.0
Conj,avant qu’,44.0
Adv,avant tout,324.0
Adv,avant toute chose,10.0
Adj,bas de gamme,18.0
Det,beaucoup de,159.0
Adv,bel et bien,20.0
Adv,bien au contraire,21.0
Adv,bien entendu,86.0
Adv,bien plus,132.0
Conj,bien qu',524.0
Conj,bien que,1132.0
Conj,bien qu’,169.0
Adv,bien sûr,39.0
Adj,bon marché,42.0
Adv,bon nombre de,81.0
Conj,c'est pourquoi,492.0
Conj,c'est-à-dire qu',172.0
Conj,c'est-à-dire que,115.0
Conj,c'est-à-dire qu’,4.0
Adv,ce faisant,223.0
Adv,ce jour-là,16.0
Adv,ceci dit,3.0
Adv,cela dit,9.0
Conj,cependant qu',45.0
Conj,cependant que,194.0
Conj,cependant qu’,18.0
Adv,certainement pas,45.0
Adv,cette fois,28.0
Adv,cette fois-ci,4.0
Conj,chaque fois qu',182.0
Conj,chaque fois que,480.0
Conj,chaque fois qu’,43.0
Adv,comme d'habitude,3.0
Adv,comme d’habitude,2.0
Adv,comme prévu,489.0
Conj,comme s',103.0
Conj,comme si,116.0
Adv,comme suit,4925.0
Conj,comme s’,13.0
Prep,compte non tenu de,19.0
Prep,compte non tenu des,20.0
Prep,compte non tenu du,5.0
Prep,compte tenu d',53.0
Prep,compte tenu de,2434.0
Prep,compte tenu des,2282.0
Prep,compte tenu du,1003.0
Prep,compte tenu d’,18.0
Prep,conformément au,4424.0
Prep,conformément aux,6266.0
Prep,conformément à,10362.0
Adv,consécutivement à,29.0
Prep,contrairement au,47.0
Prep,contrairement aux,157.0
Prep,contrairement à,243.0
Adv,contre le gré de,2.0
Adv,contre toute attente,2.0
Conj,c’est pourquoi,211.0
Conj,c’est-à-dire que,21.0
Conj,c’est-à-dire qu’,30.0
Adv,d'année en année,26.0
Adv,d'autant moins,2.0
Adv,d'autant plus,154.0
Conj,d'autant plus qu',14.0
Conj,d'autant plus que,49.0
Conj,d'autant qu',6.0
Conj,d'autant que,28.0
Adv,d'autre part,2396.0
Adv,d'ici là,22.0
