libname,memname,memtype,dbms_memtype,engine,index,path
MAPS,FGUIANA2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,FINLAND,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,FINLAND2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,FRANCE,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,FRANCE2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,GAZASTR2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,GAZASTRI,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,GEORGIA,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,GEORGIA2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,GERMANY,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,GERMANY2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,GREECE,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,GREECE2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,GUATEMA2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,GUATEMAL,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,GUYANA,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,GUYANA2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,HAITI,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,HAITI2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,HKDB1,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,HKDB2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,HKKWDB1,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,HKKWDB2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,HKKWPU1,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,HKKWPU2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,HKNTDB1,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,HKNTDB2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,HKNTPU1,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,HKNTPU2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,HKPU1,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,HKPU2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,HONDURA2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,HONDURAS,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,HUNGARY,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,HUNGARY2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,INDIA,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,INDIA2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,INDONES2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,INDONESI,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,IRAN,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,IRAN2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,IRAQ,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,IRAQ2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,IRAQSAU2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,IRAQSAUD,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,IRELAND,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,IRELAND2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,ISRAEL,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,ISRAEL2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,ITALY,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,ITALY2,DATA,,V9,yes,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,IVORY,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,IVORY2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,JAMAICA,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,JAMAICA2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,JAOSAKA,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,JAOSAKA2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,JAPAN,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,JAPAN2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,JATOKYO,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,JATOKYO2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,JDESC,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,JDESCE,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,KAZAKHS2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,KAZAKHST,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,KENYA,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,KENYA2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,KOREANO2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,KOREANOR,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,KOREASO2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,KOREASOU,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,KOSEOUL,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,KOSEOUL2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,KYRGYZS2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,KYRGYZST,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,LAOS,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,LAOS2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,LATVIA,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
