CLASNAME,OBJNAME,DEFCREDT,DEFMODDT,DELETED,EXPLABEL,ID,LDESC,MRACCESS,PRODFLAG,USEDFLAG,VERSION,PREDCLAS,PREDROLE,SUCCCLAS,SUCCROLE,VERB,PREDCARD,SUCCCARD
CMRassocmgr,DELETED *** TextFile IS_CONTAINED_IN_0_N Option,1290438856.03536,1303146201.29214,,,A0000001.A400003B,This association template has been deleted.,2.0,0.0,0.0,2.0,CMRtextfile,OPTIONEDTEXTFILE,CMRoption,OPTIONLIST,DELETED,0:m,1:1
CMRassocmgr,DELETED *** Transform IS_CONTAINED_IN_0_N Option,1290438856.04977,1303146201.29217,,,A0000001.A400003C,This association template has been deleted.,2.0,0.0,0.0,2.0,CMRtrnsform,OPTIONEDTRANSFORM,CMRoption,OPTIONLIST,DELETED,0:m,1:1
CMRassocmgr,DELETED *** WLibrary IS_CONTAINED_IN_0_N Option,1290438856.03117,1303146201.29222,,,A0000001.A400003D,This association template has been deleted.,2.0,0.0,0.0,2.0,CMRwlibrary,OPTIONEDLIBRARY,CMRoption,OPTIONLIST,DELETED,0:m,1:1
CMRassocmgr,DELETED *** CubeRegLevelAssoc HAS CubeRegion,1290438856.04987,1303146201.29225,,,A0000001.A400003E,This association template has been deleted.,2.0,0.0,0.0,2.0,CMRclassoc,CUBELEVELASSOCLIST,CMRcubereg,OWNINGCUBEREGION,DELETED,1:1,0:m
CMRassocmgr,DELETED *** Cube IS_CONTAINED_IN_0_N CubeRegion,1290438856.03259,1303146201.29227,,,A0000001.A400003F,This association template has been deleted.,2.0,0.0,0.0,2.0,CMRcube,OWNINGCUBE,CMRcubereg,CUBEREGIONLIST,DELETED,0:m,1:1
CMRassocmgr,DELETED *** Dimension USES Cube,1290438856.03181,1303146201.29229,,,A0000001.A400003G,This association template has been deleted.,2.0,0.0,0.0,2.0,CMRdim,DIMENSIONLIST,CMRcube,CUBELIST,DELETED,0:m,0:m
CMRassocmgr,DELETED *** Dimension IS_CONTAINED_IN_0_N Level,1290438856.03227,1303146201.29232,,,A0000001.A400003H,This association template has been deleted.,2.0,0.0,0.0,2.0,CMRdim,OWNINGDIMENSION,CMRlevel,DIMENSIONLEVELLIST,DELETED,0:m,1:1
CMRassocmgr,DELETED *** Hierarchy USES Cube,1290438856.03248,1303146201.29234,,,A0000001.A400003I,This association template has been deleted.,2.0,0.0,0.0,2.0,CMRhrarchy,CUBEHIERARCHYLIST,CMRcube,HIERARCHYCUBELIST,DELETED,0:m,0:m
CMRassocmgr,DELETED *** Hierarchy USES Level,1290438856.03238,1303146201.29237,,,A0000001.A400003J,This association template has been deleted.,2.0,0.0,0.0,2.0,CMRhrarchy,LEVELHIERARCHYLIST,CMRlevel,HIERARCHYLEVELLIST,DELETED,0:m,0:m
CMRassocmgr,DELETED *** Level IS_CONTAINED_IN_0_N CubeRegLevelAssoc,1290438856.05009,1303146201.29239,,,A0000001.A400003K,This association template has been deleted.,2.0,0.0,0.0,2.0,CMRlevel,OWNINGLEVEL,CMRclassoc,CUBERLEVELASSOCLIST,DELETED,0:m,1:1
