unicode,euc,ibm,pcibm
U+03C0,A520,4620,83EE
U+03C1,A520,4620,83EF
U+03C3,A520,4620,83F0
U+03C4,A520,4620,83F1
U+03C5,A520,4620,83F2
U+03C6,A520,4620,83F3
U+03C7,A520,4620,83F4
U+03C8,A520,4620,83F5
U+03C9,A520,4620,83F6
U+2500,A6A1,4741,8440
U+2502,A6A2,4742,8441
U+250C,A6A3,4743,8442
U+2510,A6A4,4744,8443
U+2518,A6A5,4745,8444
U+2514,A6A6,4746,8445
U+251C,A6A7,4747,8446
U+252C,A6A8,4748,8447
U+2524,A6A9,4749,8448
U+2534,A6AA,474A,8449
U+253C,A6AB,474B,844A
U+3320,A7A2,416D,816D
U+3320,A7A3,416E,816E
U+2113,A7A4,416F,816F
U+33C4,A7A6,4170,8170
U+3320,A7AE,4171,8171
U+3320,A7AF,4172,8172
U+3320,A7B0,4173,8173
U+3320,A7B7,4174,8174
U+3320,A7B8,4175,8175
U+3041,AAA1,4441,829F
U+3042,AAA2,4442,82A0
U+3043,AAA3,4443,82A1
U+3044,AAA4,4444,82A2
U+3045,AAA5,4445,82A3
U+3046,AAA6,4446,82A4
U+3047,AAA7,4447,82A5
U+3048,AAA8,4448,82A6
U+3049,AAA9,4449,82A7
U+304A,AAAA,444A,82A8
U+304B,AAAB,444B,82A9
U+304C,AAAC,444C,82AA
U+304D,AAAD,444D,82AB
U+304E,AAAE,444E,82AC
U+304F,AAAF,444F,82AD
U+3050,AAB0,4450,82AE
U+3051,AAB1,4451,82AF
U+3052,AAB2,4452,82B0
U+3053,AAB3,4453,82B1
U+3054,AAB4,4454,82B2
U+3055,AAB5,4455,82B3
U+3056,AAB6,4456,82B4
U+3057,AAB7,4457,82B5
U+3058,AAB8,4458,82B6
U+3059,AAB9,4459,82B7
U+305A,AABA,445A,82B8
U+305B,AABB,445B,82B9
U+305C,AABC,445C,82BA
U+305D,AABD,445D,82BB
U+305E,AABE,445E,82BC
U+305F,AABF,445F,82BD
U+3060,AAC0,4460,82BE
U+3061,AAC1,4461,82BF
U+3062,AAC2,4462,82C0
U+3063,AAC3,4463,82C1
U+3064,AAC4,4464,82C2
U+3065,AAC5,4465,82C3
U+3066,AAC6,4466,82C4
U+3067,AAC7,4467,82C5
U+3068,AAC8,4468,82C6
U+3069,AAC9,4469,82C7
U+306A,AACA,446A,82C8
U+306B,AACB,446B,82C9
U+306C,AACC,446C,82CA
U+306D,AACD,446D,82CB
U+306E,AACE,446E,82CC
U+306F,AACF,446F,82CD
U+3070,AAD0,4470,82CE
U+3071,AAD1,4471,82CF
U+3072,AAD2,4472,82D0
U+3073,AAD3,4473,82D1
U+3074,AAD4,4474,82D2
U+3075,AAD5,4475,82D3
U+3076,AAD6,4476,82D4
U+3077,AAD7,4477,82D5
U+3078,AAD8,4478,82D6
U+3079,AAD9,4479,82D7
U+307A,AADA,447A,82D8
U+307B,AADB,447B,82D9
U+307C,AADC,447C,82DA
U+307D,AADD,447D,82DB
U+307E,AADE,447E,82DC
U+307F,AADF,447F,82DD
U+3080,AA20,4480,82DE
U+3020,AA20,4420,82DF
U+3020,AA20,4420,82E0
U+3020,AA20,4420,82E1
U+3020,AA20,4420,82E2
U+3020,AA20,4420,82E3
U+3020,AA20,4420,82E4
U+3020,AA20,4420,82E5
U+3020,AA20,4420,82E6
U+3020,AA20,4420,82E7
U+3020,AA20,4420,82E8
U+3020,AA20,4420,82E9
U+3020,AA20,4420,82EA
U+3020,AA20,4420,82EB
U+3020,AA20,4420,82EC
U+3020,AA20,4420,82ED
U+3020,AA20,4420,82EE
U+3020,AA20,4420,82EF
U+3020,AA20,4420,82F0
U+3020,AA20,4420,82F1
U+30A1,ABA1,4541,8340
U+30A2,ABA2,4542,8341
U+30A3,ABA3,4543,8342
U+30A4,ABA4,4544,8343
U+30A5,ABA5,4545,8344
U+30A6,ABA6,4546,8345
U+30A7,ABA7,4547,8346
U+30A8,ABA8,4548,8347
U+30A9,ABA9,4549,8348
U+30AA,ABAA,454A,8349
U+30AB,ABAB,454B,834A
U+30AC,ABAC,454C,834B
U+30AD,ABAD,454D,834C
U+30AE,ABAE,454E,834D
U+30AF,ABAF,454F,834E
U+30B0,ABB0,4550,834F
U+30B1,ABB1,4551,8350
U+30B2,ABB2,4552,8351
U+30B3,ABB3,4553,8352
U+30B4,ABB4,4554,8353
U+30B5,ABB5,4555,8354
U+30B6,ABB6,4556,8355
U+30B7,ABB7,4557,8356
U+30B8,ABB8,4558,8357
U+30B9,ABB9,4559,8358
U+30BA,ABBA,455A,8359
U+30BB,ABBB,455B,835A
U+30BC,ABBC,455C,835B
U+30BD,ABBD,455D,835C
U+30BE,ABBE,455E,835D
U+30BF,ABBF,455F,835E
U+30C0,ABC0,4560,835F
U+30C1,ABC1,4561,8360
U+30C2,ABC2,4562,8361
U+30C3,ABC3,4563,8362
U+30C4,ABC4,4564,8363
U+30C5,ABC5,4565,8364
U+30C6,ABC6,4566,8365
U+30C7,ABC7,4567,8366
U+30C8,ABC8,4568,8367
U+30C9,ABC9,4569,8368
U+30CA,ABCA,456A,8369
U+30CB,ABCB,456B,836A
U+30CC,ABCC,456C,836B
U+30CD,ABCD,456D,836C
U+30CE,ABCE,456E,836D
U+30CF,ABCF,456F,836E
U+30D0,ABD0,4570,836F
U+30D1,ABD1,4571,8370
U+30D2,ABD2,4572,8371
U+30D3,ABD3,4573,8372
U+30D4,ABD4,4574,8373
U+30D5,ABD5,4575,8374
U+30D6,ABD6,4576,8375
U+30D7,ABD7,4577,8376
U+30D8,ABD8,4578,8377
U+30D9,ABD9,4579,8378
U+30DA,ABDA,457A,8379
U+30DB,ABDB,457B,837A
U+30DC,ABDC,457C,837B
U+30DD,ABDD,457D,837C
U+30DE,ABDE,457E,837D
U+30DF,ABDF,457F,837E
U+3020,AB20,4580,8380
U+3020,AB20,4520,8381
U+3020,AB20,4520,8382
U+3020,AB20,4520,8383
U+3020,AB20,4520,8384
U+3020,AB20,4520,8385
U+3020,AB20,4520,8386
U+3020,AB20,4520,8387
U+3020,AB20,4520,8388
U+3020,AB20,4520,8389
U+3020,AB20,4520,838A
U+3020,AB20,4520,838B
U+3020,AB20,4520,838C
U+3020,AB20,4520,838D
U+3020,AB20,4520,838E
U+3020,AB20,4520,838F
U+3020,AB20,4520,8390
U+3020,AB20,4520,8391
U+3020,AB20,4520,8392
U+3020,AB20,4520,8393
U+3020,AB20,4520,8394
U+3020,AB20,4520,8395
U+3020,AB20,4520,8396
U+AC00,B0A1,8861,8640
U+AC00,B0A1,89D1,869E
U+AC01,B0A2,8862,8641
U+AC04,B0A3,8865,8643
U+AC07,B0A4,8868,8644
U+AC08,B0A5,8869,8645
U+AC09,B0A6,886A,8646
U+AC0A,B0A7,886B,8647
U+AC10,B0A8,8871,8649
U+AC11,B0A9,8873,864A
U+AC12,B0AA,8874,864B
U+AC13,B0AB,8875,864C
U+AC14,B0AC,8876,864D
U+AC15,B0AD,8877,864E
U+AC16,B0AE,8878,864F
U+AC17,B0AF,8879,8650
U+AC19,B0B0,887B,8651
U+AC1A,B0B1,887C,8652
U+AC1B,B0B2,887D,8653
U+AC1C,B0B3,8881,8654
U+AC1D,B0B4,8882,8655
U+AC20,B0B5,8885,8656
U+AC24,B0B6,8889,8657
U+AC2C,B0B7,8891,8658
U+AC2D,B0B8,8893,8659
U+AC2F,B0B9,8895,865A
U+AC30,B0BA,8896,865B
U+AC31,B0BB,8897,865C
U+AC38,B0BC,88A1,865D
U+AC39,B0BD,88A2,865E
U+AC40,B0BF,88A9,865F
U+AC54,B0C2,88C1,8660
U+AC58,B0C3,88C5,8661
U+AC5C,B0C4,88C9,8662
U+AC70,B0C5,88E1,8663
U+AC71,B0C6,88E2,8664
U+AC74,B0C7,88E5,8665
U+AC77,B0C8,88E8,8666
