libname,memname,memtype
MAPSGFK,ALBANIA_ATTR,DATA
MAPSGFK,ALGERIA,DATA
MAPSGFK,ALGERIA_ATTR,DATA
MAPSGFK,ANDORRA,DATA
MAPSGFK,ANDORRA_ATTR,DATA
MAPSGFK,ANGOLA,DATA
MAPSGFK,ANGOLA_ATTR,DATA
MAPSGFK,ANTARCTICA,DATA
MAPSGFK,ANTARCTICA1,DATA
MAPSGFK,ANTARCTICA1_ATTR,DATA
MAPSGFK,ANTARCTICA_ATTR,DATA
MAPSGFK,ARGENTINA,DATA
MAPSGFK,ARGENTINA_ATTR,DATA
MAPSGFK,ARMENIA,DATA
MAPSGFK,ARMENIA_ATTR,DATA
MAPSGFK,ASIA,DATA
MAPSGFK,ASIA1,DATA
MAPSGFK,ASIA1_ATTR,DATA
MAPSGFK,ASIA2,DATA
MAPSGFK,ASIA2_ATTR,DATA
MAPSGFK,ASIA3,DATA
MAPSGFK,ASIA3_ATTR,DATA
MAPSGFK,ASIA_ATTR,DATA
MAPSGFK,AUSTRALIA,DATA
MAPSGFK,AUSTRALIA_ALL,DATA
MAPSGFK,AUSTRALIA_ALL_ATTR,DATA
MAPSGFK,AUSTRALIA_ATTR,DATA
MAPSGFK,AUSTRIA,DATA
MAPSGFK,AUSTRIA_ATTR,DATA
MAPSGFK,AZERBAIJAN,DATA
MAPSGFK,AZERBAIJAN_ATTR,DATA
MAPSGFK,BAHRAIN,DATA
MAPSGFK,BAHRAIN_ATTR,DATA
MAPSGFK,BANGLADESH,DATA
MAPSGFK,BANGLADESH_ATTR,DATA
MAPSGFK,BELARUS,DATA
MAPSGFK,BELARUS_ATTR,DATA
MAPSGFK,BELGIUM,DATA
MAPSGFK,BELGIUM_ATTR,DATA
MAPSGFK,BELIZE,DATA
MAPSGFK,BELIZE_ATTR,DATA
MAPSGFK,BENIN,DATA
MAPSGFK,BENIN_ATTR,DATA
MAPSGFK,BERMUDA,DATA
MAPSGFK,BERMUDA_ATTR,DATA
MAPSGFK,BHUTAN,DATA
MAPSGFK,BHUTAN_ATTR,DATA
MAPSGFK,BOLIVIA,DATA
MAPSGFK,BOLIVIA_ATTR,DATA
MAPSGFK,BOSNIA_HERZEGOVINA,DATA
MAPSGFK,BOSNIA_HERZEGOVINA_ATTR,DATA
MAPSGFK,BOTSWANA,DATA
MAPSGFK,BOTSWANA_ATTR,DATA
MAPSGFK,BRAZIL,DATA
MAPSGFK,BRAZIL_ATTR,DATA
MAPSGFK,BRUNEI_DARUSSALAM,DATA
MAPSGFK,BRUNEI_DARUSSALAM_ATTR,DATA
MAPSGFK,BULGARIA,DATA
MAPSGFK,BULGARIA_ATTR,DATA
MAPSGFK,BURKINA_FASO,DATA
MAPSGFK,BURKINA_FASO_ATTR,DATA
MAPSGFK,BURUNDI,DATA
MAPSGFK,BURUNDI_ATTR,DATA
MAPSGFK,CAMBODIA,DATA
MAPSGFK,CAMBODIA_ATTR,DATA
MAPSGFK,CAMEROON,DATA
MAPSGFK,CAMEROON_ATTR,DATA
MAPSGFK,CANADA,DATA
MAPSGFK,CANADA_ATTR,DATA
MAPSGFK,CAPE_VERDE,DATA
MAPSGFK,CAPE_VERDE_ATTR,DATA
MAPSGFK,CARIBBEAN,DATA
MAPSGFK,CARIBBEAN_ATTR,DATA
MAPSGFK,CENTRAL_AFRICAN_REPUBLIC,DATA
MAPSGFK,CENTRAL_AFRICAN_REPUBLIC_ATTR,DATA
MAPSGFK,CHAD,DATA
MAPSGFK,CHAD_ATTR,DATA
MAPSGFK,CHILE,DATA
MAPSGFK,CHILE_ATTR,DATA
MAPSGFK,CHINA,DATA
MAPSGFK,CHINA_ATTR,DATA
MAPSGFK,COLOMBIA,DATA
MAPSGFK,COLOMBIA_ATTR,DATA
MAPSGFK,COMOROS,DATA
MAPSGFK,COMOROS_ATTR,DATA
MAPSGFK,CONGO,DATA
MAPSGFK,CONGO_ATTR,DATA
MAPSGFK,COSTA_RICA,DATA
MAPSGFK,COSTA_RICA_ATTR,DATA
MAPSGFK,CROATIA,DATA
MAPSGFK,CROATIA_ATTR,DATA
MAPSGFK,CYPRUS,DATA
MAPSGFK,CYPRUS_ATTR,DATA
MAPSGFK,CZECH_REPUBLIC,DATA
MAPSGFK,CZECH_REPUBLIC_ATTR,DATA
MAPSGFK,DENMARK,DATA
MAPSGFK,DENMARK_ALL,DATA
MAPSGFK,DENMARK_ALL_ATTR,DATA
MAPSGFK,DENMARK_ATTR,DATA
MAPSGFK,DJIBOUTI,DATA
MAPSGFK,DJIBOUTI_ATTR,DATA
MAPSGFK,DR_CONGO,DATA
MAPSGFK,DR_CONGO_ATTR,DATA
MAPSGFK,ECUADOR,DATA
MAPSGFK,ECUADOR_ATTR,DATA
MAPSGFK,EGYPT,DATA
MAPSGFK,EGYPT_ATTR,DATA
MAPSGFK,EL_SALVADOR,DATA
MAPSGFK,EL_SALVADOR_ATTR,DATA
MAPSGFK,EQUATORIAL_GUINEA,DATA
MAPSGFK,EQUATORIAL_GUINEA_ATTR,DATA
MAPSGFK,ERITREA,DATA
MAPSGFK,ERITREA_ATTR,DATA
MAPSGFK,ESTONIA,DATA
MAPSGFK,ESTONIA_ATTR,DATA
MAPSGFK,ETHIOPIA,DATA
MAPSGFK,ETHIOPIA_ATTR,DATA
MAPSGFK,EUROPE,DATA
MAPSGFK,EUROPE1,DATA
MAPSGFK,EUROPE1_ATTR,DATA
MAPSGFK,EUROPE2,DATA
MAPSGFK,EUROPE2_ATTR,DATA
MAPSGFK,EUROPE3,DATA
MAPSGFK,EUROPE3_ATTR,DATA
MAPSGFK,EUROPENUTS0,DATA
MAPSGFK,EUROPENUTS0_ATTR,DATA
MAPSGFK,EUROPENUTS1,DATA
MAPSGFK,EUROPENUTS1_ATTR,DATA
MAPSGFK,EUROPENUTS2,DATA
MAPSGFK,EUROPENUTS2_ATTR,DATA
MAPSGFK,EUROPENUTS3,DATA
MAPSGFK,EUROPENUTS3_ATTR,DATA
MAPSGFK,EUROPE_ATTR,DATA
MAPSGFK,FALKLAND_ISLANDS,DATA
MAPSGFK,FALKLAND_ISLANDS_ATTR,DATA
MAPSGFK,FAROE_ISLANDS,DATA
MAPSGFK,FAROE_ISLANDS_ATTR,DATA
MAPSGFK,FINLAND,DATA
MAPSGFK,FINLAND_ATTR,DATA
MAPSGFK,FRANCE,DATA
