CLASNAME,OBJNAME,DEFCREDT,DEFMODDT,DELETED,EXPLABEL,ID,LDESC,MRACCESS,PRODFLAG,USEDFLAG,VERSION,PREDCLAS,PREDROLE,SUCCCLAS,SUCCROLE,VERB,PREDCARD,SUCCCARD
OMSassocmgr,DELETED *** SASCatalogEntry IS_CONTAINED_IN_0_1 SASInformati,1316012620.55187,,,,A0000001.A400003U,This association template has been deleted.,2.0,0.0,0.0,2.0,OMScatentry,OWNINGCATALOGENTRY,OMSsasinfo,ASSOCIATEDSASINFORMATION,DELETED,0:1,1:1
OMSassocmgr,Classifier USES ClassifierMap,1357142922.628,1357142922.628,,,A0000001.A400003V,Compiled by ModelCompiler on 02JAN03 16:08,2.0,0.0,0.0,2.0,OMSclsifier,CLASSIFIERSOURCES,OMScmap,SOURCECLASSIFIERMAPS,USES,0:m,0:m
OMSassocmgr,DELETED *** ClassifierMap USES TransformationStep,1312803217.58798,,,,A0000001.A400003W,This association template has been deleted.,2.0,0.0,0.0,2.0,OMScmap,CLASSIFIERMAPS,OMStrnsstep,STEPS,DELETED,0:m,0:m
OMSassocmgr,DELETED *** ClassifierMap IS_RELATED_TO_0_1 CubeRegion,1311609069.8586,,,,A0000001.A400003X,This association template has been deleted.,2.0,0.0,0.0,2.0,OMScmap,CONTENTMAP,OMScubereg,ASSOCIATEDCUBEREGION,DELETED,0:1,0:1
OMSassocmgr,ClassifierMap USES Classifier,1357142922.628,1357142922.628,,,A0000001.A400003Y,Compiled by ModelCompiler on 02JAN03 16:08,2.0,0.0,0.0,2.0,OMScmap,TARGETCLASSIFIERMAPS,OMSclsifier,CLASSIFIERTARGETS,USES,0:m,0:m
OMSassocmgr,DELETED *** Connection IS_RELATED_TO_0_N Option,1311609069.90273,,,,A0000001.A400003Z,This association template has been deleted.,2.0,0.0,0.0,2.0,OMScnction,ASSOCIATEDCONNECTION,OMSoptions,OPTIONS,DELETED,0:m,0:1
OMSassocmgr,Connection HAS DeployedComponent,1357142922.638,1357142922.638,,,A0000001.A4000040,Compiled by ModelCompiler on 02JAN03 16:08,2.0,0.0,0.0,2.0,OMScnction,SOURCECONNECTIONS,OMSdepcomp,SOURCE,HAS,1:1,0:m
OMSassocmgr,Cube USES Measure,1357142922.628,1357142922.628,,,A0000001.A4000041,Compiled by ModelCompiler on 02JAN03 16:08,2.0,0.0,0.0,2.0,OMScube,CUBES,OMSomeasure,MEASURES,USES,0:m,0:m
OMSassocmgr,Cube CONTAINS OLAPSchema,1357142922.628,1357142922.628,,,A0000001.A4000042,Compiled by ModelCompiler on 02JAN03 16:08,2.0,0.0,0.0,2.0,OMScube,CUBES,OMSoschema,ASSOCIATEDOLAPSCHEMA,CONTAINS,0:1,0:m
OMSassocmgr,DELETED *** Cube HAS Dimension,1313334681.35682,,,,A0000001.A4000043,This association template has been deleted.,2.0,0.0,0.0,2.0,OMScube,DEFAULTFORCUBES,OMSdim,DEFAULTDIMENSION,DELETED,1:1,0:m
OMSassocmgr,DELETED *** Cube IS_CONTAINED_IN_0_N CubeRegion,1313334681.35726,,,,A0000001.A4000044,This association template has been deleted.,2.0,0.0,0.0,2.0,OMScube,OWNINGCUBE,OMScubereg,CUBEREGIONS,DELETED,0:m,1:1
OMSassocmgr,DeployedDataPackage USES DeployedDataPackage,1357142922.638,1357142922.638,,,A0000001.A4000045,Compiled by ModelCompiler on 02JAN03 16:08,2.0,0.0,0.0,2.0,OMSddatapkg,USEDBYPACKAGES,OMSddatapkg,USINGPACKAGES,USES,0:m,0:m
