role,Term,numdocs
Prep,lungi dall’,16.0
Conj,ma anche,1278.0
Adv,man mano,100.0
Adj,mar nero,4.0
Adv,mutatis mutandis,435.0
Adv,nel contempo,834.0
Conj,nel modo che,21.0
Conj,non solo,951.0
Adv,ogni tanto,8.0
Adj,on line,75.0
Adv,per certo,3.0
Adv,per forza,22.0
Adv,per l'appunto,16.0
Adv,per lo meno,122.0
Adv,per lo più,214.0
Adv,per l’appunto,11.0
Prep,per mezzo degli,7.0
Prep,per mezzo dei,28.0
Prep,per mezzo del,82.0
Prep,per mezzo dell',27.0
Prep,per mezzo della,72.0
Prep,per mezzo delle,28.0
Prep,per mezzo dello,14.0
Prep,per mezzo dell’,7.0
Prep,per mezzo di,487.0
Conj,per quanto,8883.0
Adv,per se,60.0
Adv,per sempre,5.0
Conj,piuttosto che,399.0
Prep,presso di,27.0
Prep,prima d',7.0
Prep,prima de,4.0
Prep,prima degli,24.0
Prep,prima dei,66.0
Prep,prima del,1664.0
Prep,prima dell',1556.0
Prep,prima della,2440.0
Prep,prima delle,202.0
Prep,prima dello,215.0
Prep,prima dell’,511.0
Prep,prima di,2154.0
Prep,prima d’,6.0
Conj,pur di,5.0
Prep,quanto agli,54.0
Prep,quanto ai,118.0
Prep,quanto al,258.0
Prep,quanto all',128.0
Prep,quanto alla,375.0
Prep,quanto alle,189.0
Prep,quanto allo,11.0
Prep,quanto all’,78.0
Adv,quanto meno,201.0
Adv,quanto più,460.0
Conj,salvo che,438.0
Pron,se la,2576.0
Pron,se le,1914.0
Pron,se li,6.0
Pron,se lo,667.0
Pron,se ne,400.0
Pron,se stessa,22.0
Pron,se stesse,5.0
Pron,se stessi,11.0
Pron,se stesso,19.0
Conj,secondo che,19.0
Adv,sempre più,724.0
Conj,senza che,816.0
Adv,senza dubbio,50.0
Conj,sia pure,47.0
Adv,sine die,2.0
Adv,sine qua non,29.0
Prep,sopra d',1.0
Prep,sopra di,12.0
Prep,sotto di,11.0
Adv,statu quo,12.0
Prep,su di,344.0
Adv,sui generis,21.0
Adv,tanto meno,26.0
Adv,tanto più,179.0
Conj,tranne che,188.0
Det,un certo,1063.0
Adv,un giorno,265.0
Adv,un po',47.0
Adv,un po’,18.0
Det,una certa,786.0
Adj,valle d’aosta,2.0
Pron,ve le,2.0
Pron,ve li,20.0
Pron,ve ne,54.0
